N,K,beta,t1,tv,t2,h1,hv,h2,tail_gamma,aw_mass_in_window,paper_bimodal
292,2,0.01,53,2945.0,7872.0,0.00013220495103847778,2.712809339697251e-05,3.542482800733595e-05,5.80433129344058e-05,0.4312724072879745,True
294,2,0.01,53,2993.0,7965.0,0.00013220495083912203,2.6879034314242e-05,3.497019149851737e-05,5.737191962163456e-05,0.42738531526937595,True
296,2,0.01,53,3041.0,8058.0,0.00013220495062631939,2.663346989845022e-05,3.4524428503010334e-05,5.671308384751211e-05,0.4235646332676835,True
298,2,0.01,53,3090.0,8151.0,0.0001322049504004991,2.6391330060694588e-05,3.4087306983161006e-05,5.606648371640634e-05,0.4198097784029353,True
300,2,0.01,53,3139.0,8245.0,0.0001322049501620078,2.615254834668363e-05,3.3658602493882694e-05,5.5431807702700274e-05,0.4161201553827147,True
50,4,0.01,131,,,0.00235655709320062,,,0.003167161011114622,1.0000000000152516,False
52,4,0.01,141,,,0.002186507528972233,,,0.0029407327500205202,1.0000000000125704,False
54,4,0.01,152,,,0.0020343461254589764,,,0.0027380392750143705,1.0000000000052487,False
56,4,0.01,163,,,0.001897633747100782,,,0.0025558647656832244,0.9999999999924017,False
58,4,0.01,174,,,0.0017743485129582486,,,0.0023915209292920208,0.9999999999818122,False
60,4,0.01,186,,,0.0016627786489205312,,,0.0022427463798718227,0.9999999999733209,False
62,4,0.01,198,,,0.001561486550501519,,,0.002107627728899476,0.9999999999490502,False
64,4,0.01,210,,,0.001469241206486595,,,0.001984537192142232,0.9999999998745385,False
66,4,0.01,223,,,0.0013849979673784148,,,0.001872082875071003,0.999999999695688,False
68,4,0.01,236,,,0.0013078508221972093,,,0.0017690688746643984,0.9999999991564794,False
70,4,0.01,250,,,0.0012370243660878842,,,0.001674463042328598,0.9999999975348731,False
72,4,0.01,264,,,0.0011718445501405635,,,0.001587370771021986,0.9999999931520415,False
74,4,0.01,33,38.0,278.0,0.00011048702523309968,0.00011033666052499885,0.0011117282880444388,0.0015070135531000603,0.9969433345668184,True
76,4,0.01,32,42.0,292.0,0.00011042591390109883,0.00010966608160243029,0.001056157822563225,0.0014327113412635722,0.9958863652871631,True
78,4,0.01,32,45.0,307.0,0.0001104000144907754,0.00010881169178540726,0.0010046887571772453,0.0013638679605708544,0.9945835190087904,True
80,4,0.01,32,49.0,323.0,0.00011038833699901673,0.00010783159101602944,0.0009569244746508255,0.0012999589826290503,0.9930074799699957,True
82,4,0.01,32,52.0,338.0,0.00011038323804550886,0.00010674372838555561,0.0009125173481653829,0.0012405215981029386,0.9911329439315668,True
84,4,0.01,32,55.0,354.0,0.00011038108406498342,0.00010558725468361353,0.0008711586745494598,0.001185146119620141,0.9889371668804672,True
86,4,0.01,32,59.0,371.0,0.0001103802047558825,0.00010437788422263522,0.0008325752480403598,0.0011334688217890002,0.9864003884867805,True
88,4,0.01,32,62.0,387.0,0.00011037985830890655,0.00010311900002195962,0.000796522934460473,0.0010851658830514574,0.9835061287438556,True
90,4,0.01,32,66.0,405.0,0.0001103797267492914,0.00010183891638500058,0.0007627849928619263,0.001039948239640466,0.9802413632195135,True
92,4,0.01,32,69.0,422.0,0.00011037967867380667,0.00010052949182336923,0.0007311677301058931,0.000997557197976595,0.9765965877543434,True
94,4,0.01,32,73.0,440.0,0.00011037966179741362,9.921217703269755e-05,0.0007014946666602826,0.0009577606803503176,0.972565786624198,True
96,4,0.01,32,77.0,458.0,0.00011037965611784043,9.789088748994072e-05,0.0006736103687429938,0.0009203500014394876,0.9681463199475819,True
98,4,0.01,32,80.0,476.0,0.00011037965428984041,9.656372459881773e-05,0.0006473728127983201,0.0008851370916077238,0.9633387464952707,True
100,4,0.01,32,84.0,495.0,0.00011037965372911179,9.524113190909772e-05,0.0006226550398850272,0.0008519520975033222,0.9581465975649193,True
102,4,0.01,32,88.0,514.0,0.00011037965356632103,9.39264011497088e-05,0.0005993409227981474,0.0008206413025212618,0.9525761161899544,True
104,4,0.01,32,92.0,534.0,0.00011037965352252834,9.262230251304526e-05,0.0005773263410212401,0.0007910653192110963,0.9466359746368178,True
106,4,0.01,32,96.0,554.0,0.00011037965351264814,9.133157696995159e-05,0.0005565157113925408,0.0007630975137341449,0.9403369810610365,True
108,4,0.01,32,101.0,574.0,0.0001103796535120336,9.005248240103506e-05,0.0005368228917882723,0.0007366226290059515,0.9336917845086359,True
110,4,0.01,32,105.0,594.0,0.00011037965351395901,8.879050882533631e-05,0.0005181684682618523,0.000711535578267904,0.9267145855541279,True
112,4,0.01,32,109.0,615.0,0.00011037965351672622,8.754863247363742e-05,0.0005004810571269685,0.0006877403854037011,0.9194208583472723,True
114,4,0.01,32,114.0,637.0,0.00011037965351990351,8.632123365669152e-05,0.0004836942969618462,0.0006651492520580155,0.9118270881830807,True
116,4,0.01,32,119.0,658.0,0.00011037965352338018,8.511601749411094e-05,0.0004677481144157762,0.0006436817343412651,0.9039505275897142,True
118,4,0.01,32,123.0,680.0,0.00011037965352718598,8.392950192557928e-05,0.000452586855976128,0.0006232640147098636,0.895808972726562,True
120,4,0.01,32,128.0,702.0,0.00011037965353129861,8.276284534318008e-05,0.00043815966232562715,0.0006038282567139545,0.8874205611008101,True
122,4,0.01,32,133.0,725.0,0.00011037965353566404,8.161724125380243e-05,0.00042441992262486284,0.0005853120318871872,0.8788035907827549,True
124,4,0.01,32,138.0,748.0,0.00011037965354031497,8.049244344430344e-05,0.0004113242863788051,0.0005676578097297735,0.8699763608614639,True
126,4,0.01,32,143.0,771.0,0.00011037965354525258,7.938845514109676e-05,0.0003988330411309069,0.0005508125030643908,0.8609570323377163,True
128,4,0.01,32,148.0,795.0,0.00011037965355043799,7.830543480158488e-05,0.000386909351075926,0.000534727061844698,0.8517635084168251,True
130,4,0.01,32,154.0,819.0,0.0001103796535558474,7.724339579241918e-05,0.00037551926811813565,0.0005193561097002267,0.8424133330842352,True
132,4,0.01,32,159.0,843.0,0.00011037965356148832,7.620048132783906e-05,0.00036463134236136324,0.0005046576181264431,0.8329236063039341,True
134,4,0.01,32,164.0,867.0,0.00011037965356733687,7.517907176838261e-05,0.00035421617119914587,0.0004905926139402056,0.8233109147567576,True
136,4,0.01,32,170.0,892.0,0.00011037965357339643,7.417697503183613e-05,0.0003442468812057191,0.0004771249161016201,0.8135912763531845,True
138,4,0.01,32,176.0,918.0,0.00011037965357961771,7.319558931124812e-05,0.00033469817162053264,0.0004642208987275944,0.803780097255006,True
140,4,0.01,32,181.0,943.0,0.00011037965358596478,7.223290899320773e-05,0.00032554661276545395,0.0004518492771507987,0.7938921400110437,True
142,4,0.01,32,187.0,969.0,0.00011037965359244145,7.128950176831718e-05,0.0003167703850281183,0.0004399809147120676,0.7839415014005227,True
144,4,0.01,32,193.0,995.0,0.00011037965359907645,7.036510109177534e-05,0.0003083491142191789,0.00042858864788633864,0.7739415989445415,True
146,4,0.01,32,199.0,1022.0,0.00011037965360578559,6.945925978374001e-05,0.0003002639335633313,0.000417647127749504,0.7639051646536184,True
148,4,0.01,32,205.0,1049.0,0.00011037965361257348,6.857165848989075e-05,0.0002924970105957173,0.0004071326762633052,0.7538442452970541,True
150,4,0.01,32,212.0,1076.0,0.00011037965361941844,6.770192225088396e-05,0.0002850318240223359,0.00039702315549089266,0.7437702079622045,True
152,4,0.01,32,218.0,1104.0,0.00011037965362630615,6.684900900432923e-05,0.00027785284357115036,0.0003872978488312232,0.7336937502443718,True
154,4,0.01,32,224.0,1131.0,0.00011037965363323187,6.60136328444776e-05,0.00027094558272895827,0.0003779373526073658,0.7236249141513462,True
