scan_name,case_id,corridor_halfwidth,bx,delta_core,delta_open,kappa_c2o,kappa_o2c,window,lo,hi,hit_mass,flux_c2o,flux_o2c,occupancy_mass,L0R0,L0R1,L1R0,L1R1,rollback_share
delta,delta_core_p0p40_open_p0p55,2,-0.08,0.4,0.55,0.002,0.002,middle,120,200,6.201908762913358e-08,2.4948929987529026e-11,6.976388038539538e-12,1.1685221774198531e-05,0.5661263968921716,0.43342333451972626,0.0002614832923860226,0.00018878529571583554,0.43361211981544207
delta,delta_core_p0p40_open_p0p55,2,-0.08,0.4,0.55,0.002,0.002,late,260,360,3.914316983112951e-05,4.519566434085542e-08,1.9156870584961227e-08,0.012840215695466686,0.33099000725610084,0.6675579094400433,0.00045797186754726265,0.0009941114363084661,0.6685520208763518
delta,delta_core_p0p40_open_p0p80,2,-0.08,0.4,0.8,0.002,0.002,early,10,60,5.480673459620255e-25,3.187902628415457e-31,1.2046129654877737e-31,3.269263795165138e-23,0.9941072515727435,0.0058921665395485325,5.810053857545235e-07,8.823220426973535e-10,0.005892167421870575
delta,delta_core_p0p40_open_p0p80,2,-0.08,0.4,0.8,0.002,0.002,middle,120,200,8.127581052560977e-08,3.116652718811468e-11,8.986804319966445e-12,1.5308396999866124e-05,0.5628434540115488,0.4367273356379148,0.0002469157275754909,0.00018229462296081968,0.43690963026087565
delta,delta_core_p0p40_open_p0p80,2,-0.08,0.4,0.8,0.002,0.002,late,260,360,4.970469684215183e-05,5.666267362039785e-08,2.3600270129389944e-08,0.01630188284963481,0.3227406831303881,0.6758371551446121,0.0004251112795711351,0.0009970504454286247,0.6768342055900407
delta,delta_core_p0p60_open_p0p00,2,-0.08,0.6,0.0,0.002,0.002,early,10,60,6.578949608151866e-23,4.223215269325862e-29,1.3730496283024668e-29,3.923194787637866e-21,0.9927695783620696,0.0072297793593200455,6.410675440872126e-07,1.2110663271506898e-09,0.007229780570386373
delta,delta_core_p0p60_open_p0p00,2,-0.08,0.6,0.0,0.002,0.002,middle,120,200,1.966743365532282e-06,7.743122695990863e-10,2.519952155968446e-10,0.000369174794293893,0.5562520776802371,0.44328482714605644,0.0002656692488690511,0.0001974259248374728,0.4434822530708939
delta,delta_core_p0p60_open_p0p00,2,-0.08,0.6,0.0,0.002,0.002,late,260,360,0.0007390665022478129,8.026248785098087e-07,4.63434149046611e-07,0.24106057005245354,0.34520644795432054,0.6532654845781282,0.0005286351254703548,0.0009994323420808855,0.654264916920209
delta,delta_core_p0p60_open_p0p20,2,-0.08,0.6,0.2,0.002,0.002,early,10,60,1.2364880214710193e-22,7.276825018008447e-29,2.6181194505581266e-29,7.373230520387403e-21,0.9927082243156944,0.0072911868208408856,5.877261422993002e-07,1.1373223189698979e-09,0.007291187958163204
delta,delta_core_p0p60_open_p0p20,2,-0.08,0.6,0.2,0.002,0.002,middle,120,200,3.088772713596215e-06,1.1020375803451602e-09,3.887936784880047e-10,0.0005795812891651302,0.5529432882437826,0.44663308724039913,0.00024067242343383348,0.00018295209238440712,0.4468160393327835
delta,delta_core_p0p60_open_p0p20,2,-0.08,0.6,0.2,0.002,0.002,late,260,360,0.0011177913429176645,1.146511323321246e-06,6.830629596878938e-07,0.36446695403818863,0.33678148570774824,0.661767632649894,0.0004783510730063573,0.0009725305693515856,0.6627401632192456
delta,delta_core_p0p60_open_p0p40,2,-0.08,0.6,0.4,0.002,0.002,early,10,60,2.0564420804655654e-22,1.1498973101580918e-28,4.4166934853713465e-29,1.2262211861531336e-20,0.9926476926079878,0.007351747862043245,5.584270223967198e-07,1.102946573612734e-09,0.007351748964989818
delta,delta_core_p0p60_open_p0p40,2,-0.08,0.6,0.4,0.002,0.002,middle,120,200,4.3289980208752175e-06,1.4497945440603471e-09,5.351580997756547e-10,0.0008120199952105323,0.5497690476504682,0.449831759040116,0.0002245475971171511,0.00017464571229850427,0.45000640475241455
delta,delta_core_p0p60_open_p0p40,2,-0.08,0.6,0.4,0.002,0.002,late,260,360,0.0015132588252935206,1.5151816635259433e-06,8.981731505436432e-07,0.49326868679852004,0.32881614010328825,0.6697758114425258,0.0004412671375590765,0.000966781316626778,0.6707425927591526
