t,f_total,f_near,f_far,N_direct,N_detour,F_clean,F_linger,F_rollback,F_no_return
3781,9.179428584808521e-11,2.1759641831170374e-22,9.179428584786761e-11,3.5501538821304156e-45,2.175964183117388e-22,2.5263648940531063e-11,5.152633417047521e-11,1.5004302736876186e-11,7.678998311100627e-11
3782,9.13205934248455e-11,2.1647353193104317e-22,9.132059342462902e-11,3.460291906407013e-45,2.16473531931078e-22,2.5133279154275156e-11,5.126043935827533e-11,1.4926874912093293e-11,7.639371851255049e-11
3783,9.084934543704073e-11,2.153564401442788e-22,9.084934543682538e-11,3.372704529179624e-45,2.1535644014431348e-22,2.5003582126555277e-11,5.099591666492504e-11,1.4849846645359765e-11,7.599949879148032e-11
3784,9.038052927038213e-11,2.142451130483941e-22,9.03805292701679e-11,3.2873341755031586e-45,2.142451130484286e-22,2.4874554385659977e-11,5.073275900973531e-11,1.4773215874787224e-11,7.560731339539528e-11
3785,8.991413237567623e-11,2.1313952089468973e-22,8.991413237546309e-11,3.20412472777733e-45,2.1313952089472405e-22,2.474619247779344e-11,5.04709593485566e-11,1.469698054912758e-11,7.521715182635004e-11
3786,8.945014226848895e-11,2.12039634087987e-22,8.94501422682769e-11,3.1230214888581484e-45,2.120396340880212e-22,2.4618492966982973e-11,5.021051067359027e-11,1.462113862771815e-11,7.482900364057324e-11
3787,8.898854652881158e-11,2.1094542318583615e-22,8.898854652860064e-11,3.043971146103139e-45,2.1094542318587017e-22,2.4491452434987057e-11,4.995140601320098e-11,1.4545688080427016e-11,7.444285844818804e-11
3788,8.852933280072814e-11,2.0985685889772748e-22,8.852933280051829e-11,2.9669217363266496e-45,2.0985685889776138e-22,2.436506748120384e-11,4.969363843173011e-11,1.4470626887598696e-11,7.405870591293396e-11
3789,8.807248879208477e-11,2.0877391208430766e-22,8.8072488791876e-11,2.891822611642221e-45,2.0877391208434142e-22,2.4239334722580107e-11,4.9437201029310104e-11,1.4395953040000063e-11,7.367653575189021e-11
3790,8.761800227416051e-11,2.076965537565996e-22,8.761800227395281e-11,2.8186244061695497e-45,2.0769655375663318e-22,2.411425079352072e-11,4.9182086941679736e-11,1.4321664538766577e-11,7.329633773520045e-11
3791,8.716586108134012e-11,2.0662475507522614e-22,8.71658610811335e-11,2.7472790035841826e-45,2.066247550752595e-22,2.3989812345798523e-11,4.8928289340000345e-11,1.4247759395348758e-11,7.291810168579886e-11
3792,8.67160531107883e-11,2.055584873496383e-22,8.671605311058274e-11,2.6777395054885816e-45,2.0555848734967156e-22,2.386601604846472e-11,4.867580143067313e-11,1.4174235631458975e-11,7.254181747913785e-11
3793,8.626856632212586e-11,2.0449772203734715e-22,8.626856632192136e-11,2.6099602005837997e-45,2.0449772203738028e-22,2.37428585877597e-11,4.8424616455157193e-11,1.4101091279018475e-11,7.216747504291689e-11
3794,8.582338873710725e-11,2.0344243074315967e-22,8.58233887369038e-11,2.5438965346214758e-45,2.034424307431926e-22,2.3620336667024347e-11,4.817472768978869e-11,1.4028324380104711e-11,7.179506435681304e-11
3795,8.53805084393e-11,2.0239258521841858e-22,8.538050843909761e-11,2.479505081116417e-45,2.0239258521845132e-22,2.3498447006611772e-11,4.7926128445600804e-11,1.3955932986898912e-11,7.142457545221258e-11
3796,8.493991357376581e-11,2.0134815736024612e-22,8.493991357356445e-11,2.4167435128005025e-45,2.013481573602787e-22,2.3377186343799558e-11,4.7678812068144725e-11,1.3883915161633972e-11,7.105599841194428e-11
3797,8.450159234674299e-11,2.003091192107918e-22,8.450159234654268e-11,2.355570573799152e-45,2.0030911921082419e-22,2.3256551432702364e-11,4.743277193731149e-11,1.3812268976542547e-11,7.068932337001386e-11
3798,8.406553302533098e-11,1.992754429564838e-22,8.406553302513171e-11,2.29594605251207e-45,1.9927544295651607e-22,2.313653904418509e-11,4.718800146715483e-11,1.374099251380547e-11,7.032454051133993e-11
3799,8.363172393717625e-11,1.9824710092728462e-22,8.3631723936978e-11,2.2378307551804303e-45,1.9824710092731676e-22,2.301714596577642e-11,4.694449410571478e-11,1.367008386550041e-11,6.99616400714912e-11
3800,8.320015347015964e-11,1.9722406559595017e-22,8.320015346996242e-11,2.1811864801231387e-45,1.9722406559598214e-22,2.2898369001582812e-11,4.6702243334842376e-11,1.3599541133550788e-11,6.960061233642519e-11
3801,8.277081007208584e-11,1.962063095772928e-22,8.277081007188963e-11,2.1259759926252218e-45,1.9620630957732459e-22,2.278020497220297e-11,4.646124267002514e-11,1.3529362429674989e-11,6.924144764222812e-11
3802,8.234368225037381e-11,1.9519380562744841e-22,8.234368225017862e-11,2.0721630004618563e-45,1.9519380562748008e-22,2.266265071464273e-11,4.622148566021351e-11,1.3459545875335792e-11,6.888413637485624e-11
3803,8.191875857174943e-11,1.9418652664314685e-22,8.191875857155525e-11,2.019712130041925e-45,1.941865266431784e-22,2.254570308223038e-11,4.598296588764813e-11,1.3390089601690098e-11,6.852866896987851e-11
3804,8.149602766193932e-11,1.9318444566098673e-22,8.149602766174614e-11,1.9685889031554396e-45,1.9318444566101811e-22,2.242935894453244e-11,4.574567696768808e-11,1.3320991749538901e-11,6.817503591222052e-11
3805,8.107547820536633e-11,1.921875358567131e-22,8.107547820517414e-11,1.9187597143095303e-45,1.9218753585674427e-22,2.2313615187269866e-11,4.550961254863997e-11,1.3252250469277521e-11,6.782322773590984e-11
3806,8.06570989448467e-11,1.9119577054449968e-22,8.06570989446555e-11,1.8701918086381126e-45,1.9119577054453076e-22,2.2198468712234676e-11,4.527476631158791e-11,1.3183863920846078e-11,6.747323502382258e-11
3807,8.024087868128874e-11,1.9020912317623462e-22,8.024087868109853e-11,1.8228532603707077e-45,1.9020912317626553e-22,2.208391643720702e-11,4.5041131970224355e-11,1.3115830273680254e-11,6.712504840743137e-11
3808,7.982680627339298e-11,1.8922756734080938e-22,7.982680627320375e-11,1.7767129518462615e-45,1.8922756734084015e-22,2.1969955295872672e-11,4.480870327068183e-11,1.3048147706662287e-11,6.67786585665545e-11
3809,7.941487063735398e-11,1.8825107676341192e-22,7.941487063716573e-11,1.7317405530581682e-45,1.882510767634425e-22,2.1856582237740943e-11,4.457747399136554e-11,1.2980814408072213e-11,6.643405622910648e-11
3810,7.90050607465636e-11,1.8727962530482339e-22,7.900506074637632e-11,1.6879065017170585e-45,1.8727962530485383e-22,2.1743794228063046e-11,4.4347437942786794e-11,1.2913828575539373e-11,6.609123217084984e-11
