d,dy,phase,p_near,p_far,window1_name,windowL_name,window1_N_direct,windowL_F_no_return,windowL_F_rollback,late_family,sep_mode,sep_gate_coarse,peak_ratio,valley_over_max,t_peak1,t_valley,t_peak2
9,1,2,0.2651115443237117,0.7348884556762881,peak1,peak2,0.9777287701010346,0.8833039461976078,0.11623349432546205,F_no_return,1.9675925925925926,1.9809976247030878,0.5885275239796126,0.05901796585748606,47,227,471
9,2,2,0.2515526152708869,0.7484473847291131,peak1,peak2,0.975895163433838,0.8825731825459276,0.11696646706272636,F_no_return,1.944700460829493,1.9762470308788598,0.6434760968481122,0.06352241355177449,48,226,470
9,3,2,0.23234117432986523,0.7676588256701348,peak1,peak2,0.971411586582481,0.8811536504835544,0.11840514488453562,F_no_return,1.9176201372997712,1.943529411764706,0.7368075241946634,0.07094255808431936,51,225,470
9,4,2,0.2101162205420001,0.7898837794579999,peak1,peak2,0.9648469036580581,0.8797650141504504,0.11980891070184839,F_no_return,1.8778280542986425,1.911214953271028,0.8685439077272997,0.08075756807546319,55,224,469
9,5,2,0.1871531108163871,0.812846889183613,peak1,peak2,0.9575089615646274,0.8778416784205927,0.12175974436418734,F_no_return,1.8468468468468469,1.8790697674418604,0.9696113842064197,0.08872327181207282,59,222,469
9,6,2,0.1644900709215444,0.8355099290784554,peak1,peak2,0.9487685171807457,0.8757292221853051,0.12390234335559214,F_no_return,1.8202247191011236,1.8472222222222223,0.8211505721535308,0.08331111043150614,64,221,469
10,0,2,0.2620041027851919,0.7379958972148082,peak1,peak2,0.9752982300327855,0.8836332250915111,0.11572662982404316,F_no_return,1.8826185101580135,1.9114219114219113,0.6571499753117884,0.07737891753400607,54,231,470
10,1,2,0.25696010016062093,0.7430398998393791,peak1,peak2,0.9741261915493897,0.8831242410386542,0.11623912297041485,F_no_return,1.8911564625850341,1.9069767441860466,0.6769743948694483,0.07921839999126269,55,230,470
10,2,2,0.2455879429244787,0.7544120570755214,peak1,peak2,0.9723346784007433,0.8821858964184821,0.1171923023491744,F_no_return,1.8690744920993227,1.8932714617169373,0.7297394670597217,0.08421099790344319,56,230,470
10,3,2,0.22942911602277918,0.7705708839772208,peak1,peak2,0.9677976881890771,0.8812038834379251,0.1181859045933771,F_no_return,1.847191011235955,1.875,0.8164486226055861,0.09214008853327765,59,229,469
10,4,2,0.21044955403517823,0.7895504459648217,peak1,peak2,0.9612989395604918,0.8796281592187576,0.11979315850145794,F_no_return,1.8129175946547884,1.8525345622119815,0.9343752516415043,0.10215234850509568,63,227,469
10,5,2,0.19035713012085612,0.8096428698791438,peak1,peak2,0.9543814474832902,0.8777902829100253,0.12166745490995058,F_no_return,1.7866666666666666,1.8123569794050343,0.9297331677020345,0.10464821739033056,67,226,469
10,6,2,0.16977410064981982,0.8302258993501803,peak1,peak2,0.9479478541279756,0.8757055565573212,0.12379317360595196,F_no_return,1.7649667405764966,1.7986270022883295,0.8076504945973577,0.0984861004188387,71,224,469
