case,display_name,style,base_start_x,base_start_y,target_x,target_y,x_gate,start_x,start_y,phase,t_peak1,t_valley,t_peak2,valley_over_max,sep_peaks
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,47,2,1,131,465,1137,0.047368125035614904,0.5074401008827238
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,48,2,2,113,477,1150,0.04820804484851601,1.925719591457753
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,49,2,2,97,489,1162,0.049049487971364006,2.0679611650485437
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,50,2,2,84,501,1174,0.04989119450524613,2.1691542288557213
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,51,2,2,71,513,1186,0.050734082309741656,2.257085020242915
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,52,2,2,59,524,1198,0.051581280962184416,2.3412127440904418
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,53,2,2,48,535,1210,0.04101262158123299,2.415800415800416
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,54,2,2,39,546,1222,0.02470916163548739,2.487907465825447
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,55,2,2,32,557,1233,0.015163034070886107,2.552603613177471
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,56,2,2,27,567,1245,0.010217454106543535,2.6025641025641026
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,57,2,2,24,576,1254,0.007525786004932475,2.6394849785407724
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,58,2,2,22,583,1262,0.006009845131427186,2.6724137931034484
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,59,2,2,21,587,1267,0.0052690481795693925,2.691144708423326
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,0,3,1,572,1395,1892,0.25341987467409677,0.7601497264612727
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,1,3,1,569,1393,1890,0.25345514990003676,0.7600690448791715
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,2,3,1,565,1389,1886,0.2535957375093145,0.7589773053720196
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,3,3,1,561,1384,1881,0.2541754036030173,0.7566638005159071
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,4,3,1,561,1384,1880,0.2562781012268357,0.7545766590389016
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,5,3,1,576,1399,1893,0.26071314736091744,0.7532170431798685
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,6,3,1,592,1416,1908,0.264789308390128,0.7528604118993135
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,7,3,1,609,1432,1922,0.2682641672934589,0.7520045819014891
