dst,valid,reason_invalid,mass,remaining,steps,fig3_bimodal,fig3_t1,fig3_h1,fig3_t2,fig3_h2,robust_bimodal,robust_t1,robust_h1,robust_t2,robust_h2,robust_sep,robust_ratio,robust_valley,robust_valley_ratio
22,True,,0.9812245715292266,0.018775428470772508,8000,True,95,7.489740249926858e-06,97,8.689663094376885e-06,True,697,0.000731620841955144,747,0.0007296206970513323,50,0.9972661455372612,5.7140993741294716e-05,0.07831602635756175
23,True,,0.9827927976011434,0.017207202398856605,8000,True,88,7.14114683425851e-06,90,8.460713979329838e-06,True,476,0.0006686240101220624,526,0.0006635087654350576,50,0.9923495946756818,0.00010930332150962703,0.16473530901729336
24,True,,0.9842770480890356,0.015722951910964098,8000,True,85,7.755378744973609e-06,87,9.179828525928452e-06,True,631,0.0007704960183588305,681,0.0007681873422329837,50,0.9970036495052054,5.797812893796023e-05,0.07547394463624998
25,True,,0.9856918134392596,0.014308186560739745,8000,True,80,7.982237805564754e-06,82,9.592720824839437e-06,True,436,0.0007412653936814216,486,0.0007343570718217287,50,0.9906803664131906,8.61261034870794e-05,0.11728096152655725
26,True,,0.9870210281762459,0.012978971823753694,8000,True,77,9.196987392011569e-06,79,1.1060466038100185e-05,True,557,0.0008161134032802061,607,0.0008133612946485398,50,0.9966277865053988,6.0289906171496474e-05,0.07412438551990386
27,True,,0.9882782660235908,0.011721733976408816,8000,True,72,9.026824959890959e-06,74,1.104785842725997e-05,True,396,0.0008246500017369968,446,0.0008157938582579645,50,0.9892607245978557,6.402659278145936e-05,0.07848378868428957
28,True,,0.9894506372868053,0.010549362713194186,8000,True,69,1.0589876180317254e-05,71,1.300651870042231e-05,True,473,0.0008731591748253119,523,0.0008697939401870956,50,0.9961459093195814,6.431205385984389e-05,0.07393941356502225
29,True,,0.9905506885439934,0.009449311456006134,8000,True,64,9.983076984317163e-06,66,1.2535587101001091e-05,True,358,0.0009211119573622977,408,0.0009092861538895942,50,0.9871613831758651,4.498207967539199e-05,0.049469663079081405
30,True,,0.9915684127014546,0.008431587298544829,8000,True,61,1.1671561690915461e-05,63,1.4757583645226398e-05,True,391,0.0009494994421703731,441,0.0009440154375568524,50,0.9942243203419,6.861624937617117e-05,0.0726855161963798
31,True,,0.9925153008759142,0.007484699124086031,8000,True,56,1.045394192738069e-05,58,1.3627268019014644e-05,True,322,0.0010339206376237084,372,0.0010172849100674565,50,0.9839100536821799,2.953465354093655e-05,0.029032823792675837
