t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
489,35,nan,nan,nan,nan,nan,nan
490,37,nan,nan,nan,nan,nan,nan
491,43,nan,nan,nan,nan,nan,nan
492,56,0.5693348365276212,0.0,0.4306651634723788,0.5693348365276212,0.0,0.0
493,39,nan,nan,nan,nan,nan,nan
494,45,nan,nan,nan,nan,nan,nan
495,35,nan,nan,nan,nan,nan,nan
496,37,nan,nan,nan,nan,nan,nan
497,43,nan,nan,nan,nan,nan,nan
498,35,nan,nan,nan,nan,nan,nan
499,36,nan,nan,nan,nan,nan,nan
500,32,nan,nan,nan,nan,nan,nan
501,59,0.5554359526372443,0.0,0.4445640473627557,0.5554359526372443,0.0,0.0
502,45,nan,nan,nan,nan,nan,nan
503,53,0.553763440860215,0.0,0.44623655913978494,0.553763440860215,0.0,0.0
504,48,nan,nan,nan,nan,nan,nan
505,46,nan,nan,nan,nan,nan,nan
506,46,nan,nan,nan,nan,nan,nan
507,42,nan,nan,nan,nan,nan,nan
508,52,0.5354497354497354,0.0,0.46455026455026455,0.5354497354497354,0.0,0.0
509,46,nan,nan,nan,nan,nan,nan
510,53,0.5399590163934426,0.0,0.4600409836065574,0.5399590163934426,0.0,0.0
511,38,nan,nan,nan,nan,nan,nan
512,43,nan,nan,nan,nan,nan,nan
513,57,0.5271398747390397,0.0,0.47286012526096033,0.5271398747390397,0.0,0.0
514,55,0.5270413573700954,0.0,0.47295864262990456,0.5270413573700954,0.0,0.0
515,48,nan,nan,nan,nan,nan,nan
516,37,nan,nan,nan,nan,nan,nan
517,32,nan,nan,nan,nan,nan,nan
518,42,nan,nan,nan,nan,nan,nan
519,54,0.5010799136069114,0.0,0.49892008639308855,0.5010799136069114,0.0,0.0
520,48,nan,nan,nan,nan,nan,nan
521,30,nan,nan,nan,nan,nan,nan
522,47,nan,nan,nan,nan,nan,nan
523,41,nan,nan,nan,nan,nan,nan
524,38,nan,nan,nan,nan,nan,nan
525,40,nan,nan,nan,nan,nan,nan
526,56,0.49435665914221216,0.0,0.5056433408577878,0.49435665914221216,0.0,0.0
527,35,nan,nan,nan,nan,nan,nan
528,42,nan,nan,nan,nan,nan,nan
529,44,nan,nan,nan,nan,nan,nan
530,39,nan,nan,nan,nan,nan,nan
531,45,nan,nan,nan,nan,nan,nan
532,45,nan,nan,nan,nan,nan,nan
533,46,nan,nan,nan,nan,nan,nan
534,41,nan,nan,nan,nan,nan,nan
535,43,nan,nan,nan,nan,nan,nan
536,41,nan,nan,nan,nan,nan,nan
537,43,nan,nan,nan,nan,nan,nan
538,44,nan,nan,nan,nan,nan,nan
539,51,0.4663820704375667,0.0,0.5336179295624333,0.4663820704375667,0.0,0.0
540,49,nan,nan,nan,nan,nan,nan
541,39,nan,nan,nan,nan,nan,nan
542,41,nan,nan,nan,nan,nan,nan
543,54,0.44635193133047213,0.0,0.5536480686695279,0.44635193133047213,0.0,0.0
544,47,nan,nan,nan,nan,nan,nan
545,52,0.44667370644139387,0.0,0.5533262935586061,0.44667370644139387,0.0,0.0
546,46,nan,nan,nan,nan,nan,nan
547,51,0.46611053180396245,0.0,0.5338894681960376,0.46611053180396245,0.0,0.0
548,41,nan,nan,nan,nan,nan,nan
549,35,nan,nan,nan,nan,nan,nan
550,37,nan,nan,nan,nan,nan,nan
551,49,nan,nan,nan,nan,nan,nan
552,36,nan,nan,nan,nan,nan,nan
553,46,nan,nan,nan,nan,nan,nan
554,41,nan,nan,nan,nan,nan,nan
555,61,0.48258196721311475,0.0,0.5174180327868853,0.48258196721311475,0.0,0.0
556,47,nan,nan,nan,nan,nan,nan
557,49,nan,nan,nan,nan,nan,nan
558,57,0.48105263157894734,0.0,0.5189473684210526,0.48105263157894734,0.0,0.0
559,48,nan,nan,nan,nan,nan,nan
560,52,0.4713114754098361,0.0,0.5286885245901639,0.4713114754098361,0.0,0.0
561,49,nan,nan,nan,nan,nan,nan
562,48,nan,nan,nan,nan,nan,nan
563,37,nan,nan,nan,nan,nan,nan
564,45,nan,nan,nan,nan,nan,nan
565,49,nan,nan,nan,nan,nan,nan
566,40,nan,nan,nan,nan,nan,nan
567,44,nan,nan,nan,nan,nan,nan
568,39,nan,nan,nan,nan,nan,nan
569,47,nan,nan,nan,nan,nan,nan
570,55,0.4563691073219659,0.0,0.5436308926780341,0.4563691073219659,0.0,0.0
571,52,0.45334685598377283,0.0,0.5466531440162272,0.45334685598377283,0.0,0.0
572,43,nan,nan,nan,nan,nan,nan
573,51,0.44852191641182465,0.0,0.5514780835881753,0.44852191641182465,0.0,0.0
574,40,nan,nan,nan,nan,nan,nan
575,46,nan,nan,nan,nan,nan,nan
576,57,0.4391959798994975,0.0,0.5608040201005026,0.4391959798994975,0.0,0.0
577,48,nan,nan,nan,nan,nan,nan
578,47,nan,nan,nan,nan,nan,nan
579,54,0.4295499021526419,0.0,0.5704500978473581,0.4295499021526419,0.0,0.0
580,54,0.4302554027504912,0.0,0.5697445972495089,0.4302554027504912,0.0,0.0
581,41,nan,nan,nan,nan,nan,nan
582,37,nan,nan,nan,nan,nan,nan
583,55,0.4268774703557312,0.0,0.5731225296442688,0.4268774703557312,0.0,0.0
584,48,nan,nan,nan,nan,nan,nan
585,49,nan,nan,nan,nan,nan,nan
586,48,nan,nan,nan,nan,nan,nan
587,53,0.4299900695134062,0.0,0.5700099304865939,0.4299900695134062,0.0,0.0
588,40,nan,nan,nan,nan,nan,nan
589,57,0.41674876847290643,0.0,0.5832512315270936,0.41674876847290643,0.0,0.0
590,43,nan,nan,nan,nan,nan,nan
591,41,nan,nan,nan,nan,nan,nan
