t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
743,106,0.1166016471608149,0.2904204594711747,0.6415257910706545,0.06805374945817079,0.24187256176853056,0.04854789770264413
744,112,0.11700739451935624,0.29317094388864723,0.6385384949978251,0.06829056111352762,0.24445411048281862,0.04871683340582862
745,124,0.11882046834345186,0.29705117085862964,0.6331309627059843,0.06981786643538596,0.24804856895056374,0.049002601908065914
746,109,0.11645021645021646,0.3012987012987013,0.6303030303030303,0.0683982683982684,0.2532467532467532,0.048051948051948054
747,96,0.11395646606914213,0.30089628681177977,0.6320956039265898,0.0670081092616304,0.253947930004268,0.046948356807511735
748,109,0.11311053984575835,0.30719794344473006,0.6263924592973437,0.0664095972579263,0.26049700085689803,0.04670094258783205
749,93,0.11343283582089553,0.306183368869936,0.6264392324093817,0.0673773987206823,0.2601279317697228,0.04605543710021322
750,119,0.11400925536390408,0.30879259570887674,0.6226335717290703,0.068573832562053,0.26335717290702565,0.045435422801851075
751,129,0.11648444070647603,0.3086627417998318,0.6211101766190076,0.07022708158116064,0.2624053826745164,0.04625735912531539
752,95,0.11374207188160676,0.30824524312896406,0.6241014799154334,0.06765327695560254,0.26215644820295986,0.04608879492600423
753,101,0.11629881154499151,0.30857385398981324,0.6196943972835314,0.07173174872665534,0.2640067911714771,0.04456706281833616
754,113,0.11357813834329633,0.3074295473953886,0.6216908625106746,0.07087959009393681,0.26473099914602904,0.04269854824935952
755,131,0.1102127659574468,0.3123404255319149,0.6204255319148936,0.06723404255319149,0.2693617021276596,0.04297872340425532
756,112,0.10964725881852953,0.31321716957076073,0.6196345091372716,0.0671483212919677,0.27071823204419887,0.042498937526561836
757,123,0.11068702290076336,0.31297709923664124,0.6187446988973706,0.06827820186598813,0.27056827820186596,0.04240882103477523
758,104,0.11040876527602192,0.31521281078803204,0.6156763590391909,0.06911083017277707,0.2739148756847872,0.04129793510324484
759,113,0.1084286319356205,0.3185091063108852,0.6128759000423549,0.06861499364675985,0.27869546802202455,0.03981363828886065
760,127,0.10933557611438183,0.31455004205214465,0.6156433978132885,0.06980656013456686,0.2750210260723297,0.03952901597981497
