kappa,t,smoothed_f,phase,t_peak1,t_valley,t_peak2
0.014,1440,7.004461564635319e-05,1,535,1586,2028
0.014,1441,7.003512234166278e-05,1,535,1586,2028
0.014,1442,7.00257234500958e-05,1,535,1586,2028
0.014,1443,7.00164184996335e-05,1,535,1586,2028
0.014,1444,7.000720701996758e-05,1,535,1586,2028
0.014,1445,6.999808854248938e-05,1,535,1586,2028
0.014,1446,6.998906260027933e-05,1,535,1586,2028
0.014,1447,6.998012872809634e-05,1,535,1586,2028
0.014,1448,6.997128646236736e-05,1,535,1586,2028
0.014,1449,6.996253534117706e-05,1,535,1586,2028
0.014,1450,6.995387490425748e-05,1,535,1586,2028
0.014,1451,6.994530469297796e-05,1,535,1586,2028
0.014,1452,6.993682425033491e-05,1,535,1586,2028
0.014,1453,6.9928433120942e-05,1,535,1586,2028
0.014,1454,6.992013085102004e-05,1,535,1586,2028
0.014,1455,6.991191698838732e-05,1,535,1586,2028
0.014,1456,6.990379108244987e-05,1,535,1586,2028
0.014,1457,6.98957526841917e-05,1,535,1586,2028
0.014,1458,6.988780134616539e-05,1,535,1586,2028
0.014,1459,6.987993662248253e-05,1,535,1586,2028
0.014,1460,6.987215806880442e-05,1,535,1586,2028
0.014,1461,6.986446524233274e-05,1,535,1586,2028
0.014,1462,6.98568577018003e-05,1,535,1586,2028
0.014,1463,6.984933500746204e-05,1,535,1586,2028
0.014,1464,6.98418967210859e-05,1,535,1586,2028
0.014,1465,6.983454240594393e-05,1,535,1586,2028
0.014,1466,6.982727162680341e-05,1,535,1586,2028
0.014,1467,6.982008394991808e-05,1,535,1586,2028
0.014,1468,6.981297894301945e-05,1,535,1586,2028
0.014,1469,6.980595617530819e-05,1,535,1586,2028
0.014,1470,6.97990152174456e-05,1,535,1586,2028
0.014,1471,6.979215564154522e-05,1,535,1586,2028
0.014,1472,6.97853770211644e-05,1,535,1586,2028
0.014,1473,6.977867893129603e-05,1,535,1586,2028
0.014,1474,6.977206094836042e-05,1,535,1586,2028
0.014,1475,6.976552265019711e-05,1,535,1586,2028
0.014,1476,6.975906361605687e-05,1,535,1586,2028
0.014,1477,6.975268342659378e-05,1,535,1586,2028
0.014,1478,6.974638166385721e-05,1,535,1586,2028
0.014,1479,6.974015791128425e-05,1,535,1586,2028
0.014,1480,6.973401175369182e-05,1,535,1586,2028
0.014,1481,6.972794277726909e-05,1,535,1586,2028
0.014,1482,6.972195056956996e-05,1,535,1586,2028
0.014,1483,6.971603471950548e-05,1,535,1586,2028
0.014,1484,6.971019481733659e-05,1,535,1586,2028
0.014,1485,6.970443045466663e-05,1,535,1586,2028
0.014,1486,6.96987412244342e-05,1,535,1586,2028
0.014,1487,6.969312672090596e-05,1,535,1586,2028
0.014,1488,6.968758653966948e-05,1,535,1586,2028
0.014,1489,6.968212027762629e-05,1,535,1586,2028
0.014,1490,6.967672753298488e-05,1,535,1586,2028
