kappa,window,observable,exit_prob,mean_event_time,mean_hit_time,ratio,early_mass,late_mass,no_exit_mass,phase,sep_peaks,t_peak1,t_valley,t_peak2
0.004,valley,tau_out,0.9913346145906548,226.4946325073159,1488.9997203929938,0.15211193756808555,0.9299307166878346,0.06140389790282019,0.00866538540934525,1,0.3960463531015678,550,1489,2293
0.004,peak2,tau_out,0.9999723470687845,326.09957952634824,2293.000014507188,0.14221525401796983,0.9966134161489016,0.0033589309198828188,2.7652931215538246e-05,1,0.3960463531015678,550,1489,2293
0.004,peak1,tau_mem,0.008031988694742441,269.1174615661857,550.0050693228035,0.48929996572129403,0.003894435876611264,0.004137552818131177,0.9919680113052576,1,0.3960463531015678,550,1489,2293
0.004,valley,tau_mem,0.18313922696532528,324.47304209774006,1488.9997203929938,0.2179134338669328,0.16985533691491256,0.013283890050412722,0.8168607730346747,1,0.3960463531015678,550,1489,2293
0.004,peak2,tau_mem,0.19671689569852063,585.9426627471361,2293.000014507188,0.25553539426080946,0.16723693677326182,0.029479958925258815,0.8032831043014794,1,0.3960463531015678,550,1489,2293
0.005,peak1,tau_out,0.6359350571654759,430.92727424848607,549.0006103184007,0.7849304101839953,0.07586569289501491,0.5600693642704611,0.36406494283452406,1,0.38466681524403834,549,1490,2275
0.005,valley,tau_out,0.9924567514457607,228.92258949466273,1489.9995258242227,0.15363937070250386,0.9328461973913758,0.05961055405438498,0.007543248554239268,1,0.38466681524403834,549,1490,2275
0.005,peak2,tau_out,0.9999733356501486,316.53337499616384,2274.9999558710433,0.13913555214772333,0.9965452268672885,0.00342810878286004,2.6664349851435176e-05,1,0.38466681524403834,549,1490,2275
0.005,peak1,tau_mem,0.010823290267012049,265.90450356148585,549.0006103184007,0.4843428195959031,0.0053518695324218804,0.0054714207345901685,0.989176709732988,1,0.38466681524403834,549,1490,2275
0.005,valley,tau_mem,0.21832024525824933,330.5766959848848,1489.9995258242227,0.22186362495788028,0.200931218072395,0.017389027185854333,0.7816797547417507,1,0.38466681524403834,549,1490,2275
0.005,peak2,tau_mem,0.23918318676472972,581.1757409860206,2274.9999558710433,0.25546186912496105,0.2030068249254154,0.0361763618393143,0.7608168132352703,1,0.38466681524403834,549,1490,2275
0.006,peak1,tau_out,0.637183534373967,428.4350013396624,547.0020706339754,0.783242010113611,0.07711406009927962,0.5600694742746875,0.362816465626033,1,0.3737009079969369,547,1493,2255
0.006,valley,tau_out,0.9935016574407213,230.63921394465666,1492.9998530646346,0.15448039962712032,0.9363316509419368,0.057170006498784454,0.006498342559278725,1,0.3737009079969369,547,1493,2255
0.006,peak2,tau_out,0.9999738629014204,307.4143466105396,2255.0000443884787,0.13632564991541082,0.9964618859769998,0.0035119769244206234,2.6137098579570583e-05,1,0.3737009079969369,547,1493,2255
0.006,peak1,tau_mem,0.013841881864672865,262.97130631496015,547.0020706339754,0.480750111256757,0.006951177670010321,0.006890704194662544,0.9861581181353272,1,0.3737009079969369,547,1493,2255
0.006,valley,tau_mem,0.2510532560774205,336.73926914762944,1492.9998530646346,0.22554541345494117,0.22943090939218547,0.02162234668523505,0.7489467439225794,1,0.3737009079969369,547,1493,2255
0.006,peak2,tau_mem,0.27896378728772453,575.5099183955563,2255.0000443884787,0.25521503639332555,0.23649726276986,0.042466524517864535,0.7210362127122755,1,0.3737009079969369,547,1493,2255
0.014,peak1,tau_out,0.6523457757564681,408.41001560979026,535.0041009405942,0.7633773552235618,0.0936199187253715,0.5587258570310967,0.3476542242435319,1,0.2887535054636882,535,1586,2028
0.014,valley,tau_out,0.9987501435237751,230.0883985484764,1585.9999039050585,0.14507466109042716,0.9679373190429142,0.030812824480860868,0.0012498564762248865,1,0.2887535054636882,535,1586,2028
0.014,peak2,tau_out,0.9999587312126742,248.86334775973458,2028.000010630149,0.1227136816840581,0.9945472263655446,0.0054115048471296,4.126878732579886e-05,1,0.2887535054636882,535,1586,2028
0.014,peak1,tau_mem,0.04683103155853996,246.8425911573569,535.0041009405942,0.46138448419999273,0.025370866778059643,0.021460164780480316,0.95316896844146,1,0.2887535054636882,535,1586,2028
0.014,valley,tau_mem,0.4636522430965,388.58810235993053,1585.9999039050585,0.24501142869122916,0.4044407219708098,0.05921152112569017,0.5363477569035,1,0.2887535054636882,535,1586,2028
0.014,peak2,tau_mem,0.51015871357803,508.25197312764305,2028.000010630149,0.25061734243764466,0.43249951766687256,0.07765919591115744,0.48984128642197,1,0.2887535054636882,535,1586,2028
0.0152,peak1,tau_out,0.6555544024945239,405.50997203482393,534.0015826845228,0.7593797194312643,0.09728651332019045,0.5582678891743335,0.3444455975054761,1,0.2731168460146653,534,1626,1968
0.0152,valley,tau_out,0.9992028560383291,228.93299053286856,1625.999926453888,0.14079520349803712,0.9740556890335317,0.025147167004797466,0.0007971439616708542,1,0.2731168460146653,534,1626,1968
0.0152,peak2,tau_out,0.9999446245318458,241.52525956184851,1967.999988568869,0.12272625049021767,0.9934608295619686,0.006483794969877277,5.537546815415073e-05,1,0.2731168460146653,534,1626,1968
0.0152,peak1,tau_mem,0.05308495510359332,245.17142271252695,534.0015826845228,0.4591211536864849,0.02903395338081484,0.02405100172277848,0.9469150448964067,1,0.2731168460146653,534,1626,1968
0.0152,valley,tau_mem,0.49331132258605687,400.7753600138795,1625.999926453888,0.24647932235023082,0.42767821051360433,0.06563311207245254,0.5066886774139432,1,0.2731168460146653,534,1626,1968
0.0152,peak2,tau_mem,0.5316411391808311,491.472396932972,1967.999988568869,0.2497319104612247,0.45135203929534573,0.08028909988548538,0.4683588608191689,1,0.2731168460146653,534,1626,1968
