t,f_total,f_from_corridor,f_from_outer,survival
5195,5.667139348163524e-05,5.667139348163524e-05,0.0,0.1873872348447265
5196,5.6654099604039714e-05,5.6654099604039714e-05,0.0,0.18733058074512246
5197,5.663681028166042e-05,5.663681028166042e-05,0.0,0.18727394393484076
5198,5.6619525519090566e-05,5.6619525519090566e-05,0.0,0.18721732440932168
5199,5.660224532091285e-05,5.660224532091285e-05,0.0,0.18716072216400076
5200,5.658496969169942e-05,5.658496969169942e-05,0.0,0.18710413719430904
5201,5.656769863601175e-05,5.656769863601175e-05,0.0,0.18704756949567303
5202,5.6550432158400576e-05,5.6550432158400576e-05,0.0,0.18699101906351462
5203,5.653317026340588e-05,5.653317026340588e-05,0.0,0.1869344858932512
5204,5.6515912955556704e-05,5.6515912955556704e-05,0.0,0.18687796998029563
5205,5.649866023937119e-05,5.649866023937119e-05,0.0,0.18682147132005625
5206,5.64814121193564e-05,5.64814121193564e-05,0.0,0.18676498990793688
5207,5.646416860000831e-05,5.646416860000831e-05,0.0,0.18670852573933686
5208,5.6446929685811714e-05,5.6446929685811714e-05,0.0,0.18665207880965104
5209,5.642969538124014e-05,5.642969538124014e-05,0.0,0.1865956491142698
5210,5.641246569075576e-05,5.641246569075576e-05,0.0,0.18653923664857902
5211,5.639524061880939e-05,5.639524061880939e-05,0.0,0.18648284140796018
5212,5.637802016984035e-05,5.637802016984035e-05,0.0,0.18642646338779034
5213,5.636080434827637e-05,5.636080434827637e-05,0.0,0.18637010258344205
5214,5.634359315853363e-05,5.634359315853363e-05,0.0,0.18631375899028352
5215,5.632638660501654e-05,5.632638660501654e-05,0.0,0.1862574326036785
5216,5.6309184692117766e-05,5.6309184692117766e-05,0.0,0.18620112341898634
5217,5.629198742421819e-05,5.629198742421819e-05,0.0,0.18614483143156213
5218,5.627479480568674e-05,5.627479480568674e-05,0.0,0.18608855663675644
5219,5.6257606840880355e-05,5.6257606840880355e-05,0.0,0.18603229902991555
5220,5.624042353414398e-05,5.624042353414398e-05,0.0,0.1859760586063814
5221,5.6223244889810396e-05,5.6223244889810396e-05,0.0,0.1859198353614916
5222,5.6206070912200256e-05,5.6206070912200256e-05,0.0,0.18586362929057937
5223,5.6188901605621906e-05,5.6188901605621906e-05,0.0,0.18580744038897376
5224,5.617173697437141e-05,5.617173697437141e-05,0.0,0.18575126865199937
5225,5.615457702273247e-05,5.615457702273247e-05,0.0,0.18569511407497663
5226,5.6137421754976295e-05,5.6137421754976295e-05,0.0,0.18563897665322165
5227,5.612027117536162e-05,5.612027117536162e-05,0.0,0.1855828563820463
5228,5.6103125288134564e-05,5.6103125288134564e-05,0.0,0.18552675325675816
5229,5.608598409752865e-05,5.608598409752865e-05,0.0,0.18547066727266062
5230,5.606884760776463e-05,5.606884760776463e-05,0.0,0.18541459842505287
5231,5.605171582305057e-05,5.605171582305057e-05,0.0,0.1853585467092298
5232,5.6034588747581624e-05,5.6034588747581624e-05,0.0,0.1853025121204822
5233,5.60174663855401e-05,5.60174663855401e-05,0.0,0.18524649465409668
5234,5.600034874109532e-05,5.600034874109532e-05,0.0,0.18519049430535556
5235,5.5983235818403625e-05,5.5983235818403625e-05,0.0,0.18513451106953716
5236,5.596612762160821e-05,5.596612762160821e-05,0.0,0.18507854494191553
5237,5.5949024154839196e-05,5.5949024154839196e-05,0.0,0.18502259591776068
5238,5.5931925422213446e-05,5.5931925422213446e-05,0.0,0.18496666399233846
5239,5.591483142783463e-05,5.591483142783463e-05,0.0,0.1849107491609106
5240,5.589774217579303e-05,5.589774217579303e-05,0.0,0.1848548514187348
5241,5.588065767016557e-05,5.588065767016557e-05,0.0,0.18479897076106463
5242,5.586357791501575e-05,5.586357791501575e-05,0.0,0.1847431071831496
5243,5.5846502914393595e-05,5.5846502914393595e-05,0.0,0.1846872606802352
5244,5.5829432672335524e-05,5.5829432672335524e-05,0.0,0.18463143124756287
5245,5.58123671928644e-05,5.58123671928644e-05,0.0,0.18457561888037
5246,5.579530647998937e-05,5.579530647998937e-05,0.0,0.18451982357389002
5247,5.577825053770588e-05,5.577825053770588e-05,0.0,0.1844640453233523
5248,5.576119936999565e-05,5.576119936999565e-05,0.0,0.1844082841239823
5249,5.574415298082648e-05,5.574415298082648e-05,0.0,0.18435253997100146
5250,5.5727111374152356e-05,5.5727111374152356e-05,0.0,0.1842968128596273
5251,5.571007455391328e-05,5.571007455391328e-05,0.0,0.18424110278507333
5252,5.5693042524035315e-05,5.5693042524035315e-05,0.0,0.1841854097425493
5253,5.567601528843042e-05,5.567601528843042e-05,0.0,0.18412973372726085
5254,5.565899285099648e-05,5.565899285099648e-05,0.0,0.18407407473440984
5255,5.564197521561726e-05,5.564197521561726e-05,0.0,0.18401843275919422
5256,5.562496238616223e-05,5.562496238616223e-05,0.0,0.18396280779680801
5257,5.560795436648675e-05,5.560795436648675e-05,0.0,0.18390719984244153
5258,5.5590951160431756e-05,5.5590951160431756e-05,0.0,0.1838516088912811
5259,5.55739527718239e-05,5.55739527718239e-05,0.0,0.18379603493850927
5260,5.555695920447538e-05,5.555695920447538e-05,0.0,0.1837404779793048
5261,5.553997046218397e-05,5.553997046218397e-05,0.0,0.1836849380088426
5262,5.552298654873296e-05,5.552298654873296e-05,0.0,0.18362941502229385
5263,5.550600746789107e-05,5.550600746789107e-05,0.0,0.18357390901482595
5264,5.548903322341245e-05,5.548903322341245e-05,0.0,0.18351841998160254
5265,5.547206381903652e-05,5.547206381903652e-05,0.0,0.1834629479177835
5266,5.545509925848814e-05,5.545509925848814e-05,0.0,0.183407492818525
5267,5.543813954547732e-05,5.543813954547732e-05,0.0,0.18335205467897953
5268,5.542118468369937e-05,5.542118468369937e-05,0.0,0.1832966334942958
5269,5.540423467683473e-05,5.540423467683473e-05,0.0,0.18324122925961894
5270,5.5387289528548966e-05,5.5387289528548966e-05,0.0,0.18318584197009039
5271,5.5370349242492714e-05,5.5370349242492714e-05,0.0,0.1831304716208479
5272,5.535341382230172e-05,5.535341382230172e-05,0.0,0.1830751182070256
5273,5.533648327159664e-05,5.533648327159664e-05,0.0,0.183019781723754
5274,5.5319557593983115e-05,5.5319557593983115e-05,0.0,0.18296446216616
5275,5.530263679305172e-05,5.530263679305172e-05,0.0,0.18290915952936693
5276,5.528572087237785e-05,5.528572087237785e-05,0.0,0.18285387380849455
5277,5.5268809835521776e-05,5.5268809835521776e-05,0.0,0.18279860499865902
5278,5.5251903686028505e-05,5.5251903686028505e-05,0.0,0.18274335309497297
5279,5.5235002427427815e-05,5.5235002427427815e-05,0.0,0.18268811809254554
5280,5.52181060632342e-05,5.52181060632342e-05,0.0,0.1826328999864823
5281,5.520121459694677e-05,5.520121459694677e-05,0.0,0.18257769877188534
5282,5.51843280320493e-05,5.51843280320493e-05,0.0,0.18252251444385328
5283,5.516744637201015e-05,5.516744637201015e-05,0.0,0.18246734699748127
5284,5.51505696202822e-05,5.51505696202822e-05,0.0,0.182412196427861
5285,5.513369778030285e-05,5.513369778030285e-05,0.0,0.18235706273008068
