Wy,x_start,w_fast,w_slow,fast_skip,slow_skip,delta_fast,delta_slow,phase,sep_mode_width,peak_ratio,valley_over_max,t_peak1,t_peak2,p_m1,p_m2,t_mode_m1,t_mode_m2,absorbed_mass,survival_tail
6,22,0,0,1,1,0.85,0.85,0,0.5256317689530686,,,,,0.5127392764711901,0.4872607235288098,281,645,0.999900518002105,9.948199786548754e-05
7,6,0,0,1,1,0.85,0.85,0,1.51510989010989,,,,,0.6529044616068557,0.34709553839314444,9,1112,0.9980730730467964,0.0019269269531742108
7,8,0,0,1,1,0.85,0.85,2,1.3873383253914227,0.09600680451000758,0.08193779262203504,52,966,0.6156940831936489,0.3843059168063511,52,1071,0.9982155542544444,0.0017844457455244026
7,10,0,0,1,1,0.85,0.85,2,1.2845528455284554,0.14834045322567255,0.14111498843193135,78,881,0.5885922548686133,0.41140774513138684,78,1026,0.9984337364186318,0.0015662635813362366
7,12,0,0,1,1,0.85,0.85,0,1.1675603217158177,,,,,0.5683127057436862,0.43168729425631375,108,979,0.9986784173574366,0.001321582642531636
7,14,0,0,1,1,0.85,0.85,0,1.043708609271523,,,,,0.5528278033875106,0.4471721966124895,141,929,0.9989192977145934,0.0010807022853700887
7,16,0,0,1,1,0.85,0.85,0,0.9130150425114454,,,,,0.5407948307659042,0.4592051692340959,177,875,0.999138619992984,0.0008613800069795288
7,18,0,0,1,1,0.85,0.85,0,0.7792880258899676,,,,,0.5312843681197481,0.4687156318802518,217,819,0.9993270554204986,0.0006729445794642583
7,20,0,0,1,1,0.85,0.85,0,0.6435897435897436,,,,,0.5236284552928077,0.4763715447071924,258,760,0.9994809199816284,0.0005190800183356508
7,22,0,0,1,1,0.85,0.85,0,0.5079567154678549,,,,,0.5173295197765607,0.4826704802234394,303,702,0.9996001947909942,0.00039980520897074705
8,6,0,0,1,1,0.85,0.85,0,1.4713930348258706,,,,,0.6625972711538355,0.33740272884616446,9,1192,0.9959102468588712,0.0040897531410988164
8,8,0,0,1,1,0.85,0.85,2,1.3394495412844036,0.09814377148093247,0.09125990522297381,52,992,0.6264041136946037,0.3735958863053966,52,1147,0.9961460478982515,0.003853952101713355
8,10,0,0,1,1,0.85,0.85,0,1.2351515151515151,,,,,0.5992878909261417,0.4007121090738584,81,1100,0.9965374938775744,0.003462506122390995
8,12,0,0,1,1,0.85,0.85,0,1.1255255255255254,,,,,0.5783846312801261,0.42161536871987404,113,1050,0.9969962925391104,0.003003707460852361
8,14,0,0,1,1,0.85,0.85,0,1.0053412462908011,,,,,0.5619431050806568,0.4380568949193432,149,996,0.9974649189910102,0.0025350810089533804
8,16,0,0,1,1,0.85,0.85,0,0.88042203985932,,,,,0.5487856773321632,0.451214322667837,188,939,0.9979065268209599,0.0020934731790032864
8,18,0,0,1,1,0.85,0.85,0,0.7504342790966995,,,,,0.5380781577552026,0.4619218422447974,230,878,0.998298836201703,0.0017011637982592477
8,20,0,0,1,1,0.85,0.85,0,0.6196213425129088,,,,,0.5292056885393429,0.4707943114606568,275,815,0.9986298816972369,0.0013701183027223778
8,22,0,0,1,1,0.85,0.85,0,0.49002849002849,,,,,0.5216981512511452,0.47830184874885484,322,752,0.9988948506933882,0.0011051493065705876
9,6,0,0,1,1,0.85,0.85,0,1.4392201834862386,,,,,0.6716885393965923,0.32831146060340755,9,1264,0.9930359767749883,0.0069640232249785
9,8,0,0,1,1,0.85,0.85,2,1.2958217270194987,0.10329188058305665,0.10083283623006736,54,997,0.6363996779380201,0.36360032206198,54,1217,0.993345499929397,0.0066545000705664015
9,10,0,0,1,1,0.85,0.85,0,1.1957964601769913,,,,,0.6092695508629182,0.3907304491370817,86,1167,0.9939084204420113,0.006091579557948651
9,12,0,0,1,1,0.85,0.85,0,1.0899122807017543,,,,,0.587805180191955,0.41219481980804484,120,1114,0.9945969103267843,0.005403089673176667
9,14,0,0,1,1,0.85,0.85,0,0.9745257452574526,,,,,0.5704976586887935,0.4295023413112063,158,1057,0.99532360974362,0.004676390256339531
9,16,0,0,1,1,0.85,0.85,0,0.854389721627409,,,,,0.5563139310437099,0.4436860689562902,199,997,0.9960285527390802,0.0039714472608784225
9,18,0,0,1,1,0.85,0.85,0,0.7301587301587301,,,,,0.54450370600928,0.4554962939907201,243,933,0.996671949383385,0.0033280506165728444
9,20,0,0,1,1,0.85,0.85,0,0.6027253668763103,,,,,0.5344998794740642,0.46550012052593576,291,866,0.997228973371976,0.0027710266279814206
9,22,0,0,1,1,0.85,0.85,0,0.4763390535621425,,,,,0.5258582126108853,0.4741417873891149,341,799,0.9976856942215401,0.002314305778420455
10,6,0,0,1,1,0.85,0.85,0,1.4101333333333332,,,,,0.6784558558141738,0.32154414418582633,9,1331,0.9893504413522034,0.010649558647762123
