Wy,bx,start_x,start_y,near_x,near_y,far_x,far_y,near_dx,near_dy,phase,loss_mode,t_peak1,t_valley,t_peak2,t_mode_near,t_mode_far,peak1_height,peak2_height,peak1_window_mass,peak2_window_mass,p_near,p_far,sep_mode_width,survival_tail,t_max_used,horizon_flag
16,0.12,7,7,19,12,58,7,12,5,2,clear,82,234,469,82,469,0.0016858465261293805,0.0019587934498205566,0.08325056593901499,0.10325017909565669,0.19512599471815922,0.8048740052808208,1.6753246753246753,9.998793602196812e-13,12000,ok
16,0.12,7,7,9,13,58,7,2,6,2,clear,27,193,470,26,470,0.001431665847187556,0.002212959158376819,0.05144963886365957,0.1166441503139497,0.08873768174979767,0.9112623182491815,2.1658536585365855,9.983254026317103e-13,12000,ok
16,0.12,7,7,10,13,58,7,3,6,2,clear,30,197,470,30,470,0.0015914387063455904,0.002174738750586998,0.059674465308640776,0.11463106844022984,0.10477429099434217,0.8952257090046377,2.1307506053268765,9.99077832495296e-13,12000,ok
16,0.12,7,7,11,13,58,7,4,6,2,clear,34,201,469,34,469,0.0016844214979140708,0.0021405339182312784,0.06662547253990278,0.11282402241238859,0.11904133959978425,0.8809586603991985,2.0813397129186604,9.969319253774738e-13,12000,ok
16,0.12,7,7,12,13,58,7,5,6,2,clear,39,205,469,39,469,0.0017273697766329,0.00211082357857243,0.0725161672231962,0.11125893991815673,0.1313795482254217,0.8686204517735596,2.0283018867924527,9.971931388520294e-13,12000,ok
16,0.12,7,7,13,13,58,7,6,6,2,clear,45,209,469,45,469,0.0017369333844959919,0.0020854855770155315,0.07689804467682669,0.10992411887066686,0.1418768750136924,0.8581231249852872,1.9813084112149533,9.997229205327188e-13,12000,ok
16,0.12,7,7,14,13,58,7,7,6,2,clear,51,213,469,51,469,0.0017254142306432825,0.002064096888526083,0.07896065978484594,0.10879734530997344,0.15073437612282878,0.8492656238761508,1.92183908045977,9.990881507163526e-13,12000,ok
16,0.12,7,7,15,13,58,7,8,6,2,clear,57,217,469,57,469,0.0017006125812533148,0.0020461373412391467,0.07952954456105338,0.10785127560931265,0.1581850879656735,0.8418149120333112,1.8727272727272728,9.94997181625852e-13,12000,ok
16,0.12,7,7,16,13,58,7,9,6,2,clear,64,221,469,64,469,0.0016678364268084137,0.002031096955135017,0.07958979408480985,0.10705909484286141,0.16445295863344442,0.8355470413655369,1.8202247191011236,9.974799859663774e-13,12000,ok
16,0.12,7,7,17,13,58,7,10,6,2,clear,71,224,469,71,469,0.0016302604872336674,0.002018522242156751,0.07892783427801492,0.10639696030503407,0.16973605104709621,0.830263948951887,1.7649667405764966,9.959747357130473e-13,12000,ok
16,0.12,7,7,18,13,58,7,11,6,2,clear,78,228,469,78,469,0.0015902663408107359,0.0020080299207042712,0.07783105729786154,0.10584472766971285,0.17420243367051697,0.8257975663284685,1.7186813186813186,9.95426048398446e-13,12000,ok
16,0.12,7,7,19,13,58,7,12,6,2,clear,85,232,469,85,469,0.001549371277600763,0.001999305519665955,0.07647354797145922,0.10538588008591232,0.17799180788515165,0.8220081921138316,1.665943600867679,9.956565519813743e-13,12000,ok
16,0.14,7,7,9,7,58,7,2,0,0,far_broadening,,,,2,410,nan,nan,0.0,0.0,0.49251963015935124,0.507480369839642,2.6237942122186495,9.951325814149507e-13,12000,ok
16,0.14,7,7,10,7,58,7,3,0,2,clear,6,178,410,5,410,0.017943195432923272,0.0016209538578291977,0.325414099586984,0.08524997299947747,0.41151812591680026,0.588481874082185,2.5,9.994732544522765e-13,12000,ok
16,0.14,7,7,11,7,58,7,4,0,2,clear,11,181,410,10,409,0.011394581423733088,0.0017578189448741119,0.26658256683293036,0.09244901387498217,0.36193095344867926,0.6380690465503113,2.4036144578313254,9.952529574600105e-13,12000,ok
16,0.14,7,7,12,7,58,7,5,0,2,clear,17,184,409,17,409,0.008169887903369656,0.001851246049879111,0.22946712633384725,0.09735502339482573,0.3281471863068322,0.6718528136921531,2.3058823529411763,9.987975191257114e-13,12000,ok
16,0.14,7,7,13,7,58,7,6,0,2,clear,23,188,409,23,409,0.00630183036168764,0.0019196227863815625,0.2024023868121945,0.10095144268581023,0.30348327092592803,0.6965167290730587,2.218390804597701,9.974114730000404e-13,12000,ok
16,0.14,7,7,14,7,58,7,7,0,2,clear,29,191,409,29,409,0.005106347055204657,0.0019719492625698393,0.1816661583185704,0.10370386686157676,0.2846641274216116,0.7153358725773743,2.140845070422535,9.971734207080595e-13,12000,ok
16,0.14,7,7,15,7,58,7,8,0,2,clear,36,195,409,35,409,0.004282383448115807,0.0020131825255910235,0.16791692744401662,0.10587303887875515,0.2698833644929529,0.7301166355060354,2.0662983425414363,9.959956294330605e-13,12000,ok
16,0.14,7,7,16,7,58,7,9,0,2,clear,42,198,409,42,409,0.003687876377776713,0.0020463278771438,0.15351075501194048,0.10761703990199536,0.2580450749077869,0.7419549250912018,1.989159891598916,9.957164226089396e-13,12000,ok
16,0.14,7,7,17,7,58,7,10,0,2,clear,49,201,409,49,409,0.0032411830491611443,0.0020733501819742307,0.14225568434337213,0.10903922939309829,0.24843341669224328,0.7515665833067426,1.9251336898395721,9.97495324275474e-13,12000,ok
16,0.14,7,7,18,7,58,7,11,0,2,clear,56,204,409,56,409,0.0028974811143366616,0.002095612639591817,0.13185458815863696,0.1102113279784816,0.2405533975390027,0.7594466024599847,1.8481675392670156,9.968625931982947e-13,12000,ok
16,0.14,7,7,19,7,58,7,12,0,2,clear,64,208,408,63,409,0.002628026286720803,0.002114109421034321,0.12336731781730849,0.11117625799792262,0.23404726642328305,0.7659527335756998,1.7835051546391754,9.996192388258167e-13,12000,ok
16,0.14,7,7,9,8,58,7,2,1,0,far_broadening,,,,3,408,nan,nan,0.0,0.0,0.414369867633387,0.5856301323655992,2.5796178343949046,9.9866052558499e-13,12000,ok
16,0.14,7,7,10,8,58,7,3,1,2,clear,7,177,409,6,409,0.015667483476389712,0.0017302685717373882,0.290182382801227,0.09099813953750689,0.37243755219756114,0.6275624478014264,2.4876543209876543,9.976009168110735e-13,12000,ok
16,0.14,7,7,11,8,58,7,4,1,2,clear,12,180,409,11,409,0.010458306488568558,0.0018229732527223939,0.24815092368708241,0.09587175753106504,0.338781016513017,0.6612189834859689,2.3903903903903903,9.986605974930485e-13,12000,ok
16,0.14,7,7,12,8,58,7,5,1,2,clear,18,184,409,17,409,0.007670933350672898,0.0018954574901087632,0.2186349889067794,0.09968290805606984,0.312552299135709,0.6874477008632783,2.2991202346041058,9.959840322786398e-13,12000,ok
16,0.14,7,7,13,8,58,7,6,1,2,clear,23,187,409,23,409,0.006005375569814019,0.001952470240544821,0.1924132411176629,0.10268094213090251,0.29199170509657923,0.7080082949024068,2.218390804597701,9.991873182914723e-13,12000,ok
16,0.14,7,7,14,8,58,7,7,1,2,clear,30,191,409,29,409,0.004912550465026459,0.0019979421148523862,0.1770992124231091,0.10507240187011015,0.2756532537058855,0.7243467462931032,2.146892655367232,9.954894017209657e-13,12000,ok
16,0.14,7,7,15,8,58,7,8,1,2,clear,36,194,409,36,409,0.0041489028126457965,0.0020347072370552367,0.16203980147843938,0.10700626292049459,0.262496292697992,0.7375037073009931,2.0664819944598336,9.973363819806975e-13,12000,ok
16,0.14,7,7,16,8,58,7,9,1,2,clear,43,198,409,42,409,0.003587190777292439,0.002064770708967888,0.15087438163199285,0.10858794650688766,0.251785441493977,0.7482145585050107,1.989159891598916,9.955188130696945e-13,12000,ok
16,0.14,7,7,17,8,58,7,10,1,2,clear,49,201,409,49,409,0.0031626436772816805,0.002089574526753821,0.13849032644827453,0.10989328331286159,0.24299306194764267,0.7570069380513454,1.9148936170212767,9.96165894576309e-13,12000,ok
16,0.14,7,7,18,8,58,7,11,1,2,clear,56,204,408,56,409,0.0028334544308872235,0.0021101898031384066,0.12873600651344697,0.11096920779793916,0.23573096479687686,0.7642690352021093,1.8481675392670156,9.99910195922274e-13,12000,ok
