t,f_total,f_near,f_far,N_direct,N_detour,F_clean,F_linger,F_rollback,F_no_return
1172,9.462845132300657e-05,3.481753537568771e-14,9.462845128818903e-05,2.191247692712639e-17,3.47956228987623e-14,6.505033664123229e-05,1.2596045629002546e-05,1.698206901795894e-05,7.764638227023483e-05
1173,9.413610286221238e-05,3.412928212640775e-14,9.413610282808309e-05,2.1316570460328637e-17,3.410796555594911e-14,6.471189312363395e-05,1.2530587433594691e-05,1.689362227085916e-05,7.724248055722864e-05
1174,9.364632521098923e-05,3.345468675156321e-14,9.364632517753455e-05,2.0736869578523974e-17,3.3433949881986344e-14,6.43752172487576e-05,1.24654704335691e-05,1.6805637495212522e-05,7.684068768232671e-05
1175,9.315910489848697e-05,3.2793477326320004e-14,9.315910486569349e-05,2.017293357332946e-17,3.27733043927483e-14,6.404029974156771e-05,1.240069284544388e-05,1.6718112278686553e-05,7.644099258701159e-05
1176,9.26744285243777e-05,3.214538735762707e-14,9.267442849223231e-05,1.9624333721358036e-17,3.21257630239073e-14,6.370713137583849e-05,1.2336252895043896e-05,1.6631044221354572e-05,7.604338427088238e-05
1177,9.219228275849469e-05,3.151015567534106e-14,9.219228272698454e-05,1.9090652958288474e-17,3.149106502238433e-14,6.337570297389933e-05,1.2272148817453308e-05,1.654443093563652e-05,7.564785179135264e-05
1178,9.17126543404729e-05,3.088752632554121e-14,9.171265430958537e-05,1.857148556179887e-17,3.0868954839980945e-14,6.304600540638167e-05,1.220837885696835e-05,1.6458270046239955e-05,7.525438426335003e-05
1179,9.123553007939114e-05,3.0277248465990374e-14,9.123553004911388e-05,1.8066436843122794e-17,3.025918202914875e-14,6.271802959196696e-05,1.2144941267050295e-05,1.637255919010122e-05,7.486297085901725e-05
1180,9.076089685341588e-05,2.967907626369857e-14,9.07608968237368e-05,1.7575122846993464e-17,2.966150114085306e-14,6.239176649713588e-05,1.2081834310278628e-05,1.628729601632689e-05,7.447360080741451e-05
1181,9.028874160944688e-05,2.9092768794547014e-14,9.028874158035412e-05,1.7097170059747916e-17,2.9075671624488727e-14,6.206720713591895e-05,1.2019056258304476e-05,1.6202478186135273e-05,7.408626339422342e-05
