case,window,t_lo,t_hi,region,x,y,occupancy,rank_in_region
sym_shared,peak1,369,421,top_full,17,12,1.151843545531976e-07,158
sym_shared,peak1,369,421,top_full,36,11,1.1240120263843423e-07,159
sym_shared,peak1,369,421,top_full,22,11,1.1190346289548097e-07,160
sym_shared,peak1,369,421,top_full,15,14,1.1081694452544371e-07,161
sym_shared,peak1,369,421,top_full,35,11,1.0941040034111058e-07,162
sym_shared,peak1,369,421,top_full,23,11,1.0911251869934969e-07,163
sym_shared,peak1,369,421,top_full,42,14,1.0807659707901338e-07,164
sym_shared,peak1,369,421,top_full,34,11,1.0763335976353412e-07,165
sym_shared,peak1,369,421,top_full,24,11,1.0744468376839072e-07,166
sym_shared,peak1,369,421,top_full,33,11,1.0659289474571467e-07,167
sym_shared,peak1,369,421,top_full,25,11,1.0646923356978704e-07,168
sym_shared,peak1,369,421,top_full,32,11,1.0599501191216491e-07,169
sym_shared,peak1,369,421,top_full,26,11,1.0591426737669996e-07,170
sym_shared,peak1,369,421,top_full,31,11,1.0566259389303266e-07,171
sym_shared,peak1,369,421,top_full,27,11,1.0561342764730448e-07,172
sym_shared,peak1,369,421,top_full,30,11,1.0549346279360936e-07,173
sym_shared,peak1,369,421,top_full,28,11,1.0547011018131152e-07,174
sym_shared,peak1,369,421,top_full,29,11,1.0543492833809466e-07,175
sym_shared,peak1,369,421,top_full,40,12,1.0236120286299801e-07,176
sym_shared,peak1,369,421,top_full,16,13,1.0117192952337388e-07,177
sym_shared,peak1,369,421,top_full,18,12,9.613270151583336e-08,178
sym_shared,peak1,369,421,top_full,41,13,9.176764490295865e-08,179
sym_shared,peak1,369,421,top_full,39,12,8.691633248211246e-08,180
sym_shared,peak1,369,421,top_full,19,12,8.386443221578247e-08,181
sym_shared,peak1,369,421,top_full,16,14,8.21996793743005e-08,182
sym_shared,peak1,369,421,top_full,17,13,7.945555021030718e-08,183
sym_shared,peak1,369,421,top_full,38,12,7.764336483443451e-08,184
sym_shared,peak1,369,421,top_full,20,12,7.60767689713968e-08,185
sym_shared,peak1,369,421,top_full,41,14,7.584389879919692e-08,186
sym_shared,peak1,369,421,top_full,37,12,7.20641059400449e-08,187
sym_shared,peak1,369,421,top_full,40,13,7.133241110073873e-08,188
sym_shared,peak1,369,421,top_full,21,12,7.121335374652688e-08,189
sym_shared,peak1,369,421,top_full,36,12,6.871977812606907e-08,190
sym_shared,peak1,369,421,top_full,22,12,6.822893266669812e-08,191
sym_shared,peak1,369,421,top_full,35,12,6.673049798117423e-08,192
sym_shared,peak1,369,421,top_full,23,12,6.643089642389295e-08,193
sym_shared,peak1,369,421,top_full,34,12,6.555925773954418e-08,194
sym_shared,peak1,369,421,top_full,18,13,6.551891192571864e-08,195
sym_shared,peak1,369,421,top_full,24,12,6.5368366656727e-08,196
sym_shared,peak1,369,421,top_full,33,12,6.487802968484418e-08,197
sym_shared,peak1,369,421,top_full,25,12,6.475380939141122e-08,198
sym_shared,peak1,369,421,top_full,32,12,6.448808803713582e-08,199
sym_shared,peak1,369,421,top_full,26,12,6.44081714288365e-08,200
sym_shared,peak1,369,421,top_full,31,12,6.427123391481776e-08,201
sym_shared,peak1,369,421,top_full,27,12,6.422334001777405e-08,202
sym_shared,peak1,369,421,top_full,30,12,6.415984421199127e-08,203
sym_shared,peak1,369,421,top_full,28,12,6.413736049526711e-08,204
sym_shared,peak1,369,421,top_full,29,12,6.411906700282244e-08,205
sym_shared,peak1,369,421,top_full,17,14,6.39596276409435e-08,206
sym_shared,peak1,369,421,top_full,39,13,5.951682566863401e-08,207
sym_shared,peak1,369,421,top_full,40,14,5.7970453538382166e-08,208
sym_shared,peak1,369,421,top_full,19,13,5.666158041570087e-08,209
sym_shared,peak1,369,421,top_full,38,13,5.258524124606025e-08,210
sym_shared,peak1,369,421,top_full,18,14,5.2368358049875885e-08,211
sym_shared,peak1,369,421,top_full,20,13,5.1107593912265525e-08,212
sym_shared,peak1,369,421,top_full,37,13,4.8491707282816484e-08,213
sym_shared,peak1,369,421,top_full,39,14,4.7820218087887805e-08,214
sym_shared,peak1,369,421,top_full,21,13,4.7679432901578764e-08,215
sym_shared,peak1,369,421,top_full,36,13,4.6073712929071384e-08,216
sym_shared,peak1,369,421,top_full,22,13,4.55994520030014e-08,217
sym_shared,peak1,369,421,top_full,19,14,4.506778659798185e-08,218
sym_shared,peak1,369,421,top_full,35,13,4.4651686273889355e-08,219
sym_shared,peak1,369,421,top_full,23,13,4.4360134275951235e-08,220
sym_shared,peak1,369,421,top_full,34,13,4.382152506953129e-08,221
sym_shared,peak1,369,421,top_full,24,13,4.3635740537675515e-08,222
sym_shared,peak1,369,421,top_full,33,13,4.3341487727735865e-08,223
sym_shared,peak1,369,421,top_full,25,13,4.322132982068132e-08,224
sym_shared,peak1,369,421,top_full,32,13,4.3067504509337944e-08,225
sym_shared,peak1,369,421,top_full,26,13,4.2990942611802454e-08,226
sym_shared,peak1,369,421,top_full,31,13,4.291493401213612e-08,227
sym_shared,peak1,369,421,top_full,27,13,4.2869499162408524e-08,228
sym_shared,peak1,369,421,top_full,30,13,4.283572210139885e-08,229
sym_shared,peak1,369,421,top_full,28,13,4.281454483588341e-08,230
sym_shared,peak1,369,421,top_full,29,13,4.280509182670826e-08,231
sym_shared,peak1,369,421,top_full,38,14,4.195718706798142e-08,232
sym_shared,peak1,369,421,top_full,20,14,4.05286428451208e-08,233
sym_shared,peak1,369,421,top_full,37,14,3.853848090920971e-08,234
sym_shared,peak1,369,421,top_full,21,14,3.774962351266599e-08,235
sym_shared,peak1,369,421,top_full,36,14,3.653940853788863e-08,236
sym_shared,peak1,369,421,top_full,22,14,3.607684349997157e-08,237
sym_shared,peak1,369,421,top_full,35,14,3.537288445389424e-08,238
sym_shared,peak1,369,421,top_full,23,14,3.508791937646881e-08,239
sym_shared,peak1,369,421,top_full,34,14,3.4695786362323994e-08,240
