t,f_any,f_m1_first,f_m2_first,survival
844,0.00016146081620748858,9.90597362614926e-05,6.240107994599599e-05,0.8339718426063929
845,0.00016135796028015001,9.895916908152745e-05,6.239879119862256e-05,0.8338104846461127
846,0.0001612552750688207,9.885884973706373e-05,6.239642533175699e-05,0.8336492293710438
847,0.00016115276029324464,9.87587775060587e-05,6.239398278718594e-05,0.8334880766107506
848,0.0001610504156731216,9.865895166870127e-05,6.239146400442036e-05,0.8333270261950776
849,0.00016094824092811207,9.855937150740548e-05,6.23888694207066e-05,0.8331660779541494
850,0.00016084623577784148,9.846003630680395e-05,6.238619947103753e-05,0.8330052317183718
851,0.00016074439994190486,9.836094535374124e-05,6.238345458816362e-05,0.8328444873184297
852,0.00016064273313987147,9.826209793726752e-05,6.238063520260393e-05,0.83268384458529
853,0.000160541235091289,9.816349334863193e-05,6.237774174265708e-05,0.8325233033501988
854,0.00016043990551568827,9.806513088127606e-05,6.23747746344122e-05,0.832362863444683
855,0.00016033874413258736,9.796700983082759e-05,6.237173430175975e-05,0.8322025247005505
856,0.0001602377506614961,9.786912949509367e-05,6.236862116640245e-05,0.832042286949889
857,0.00016013692482192056,9.777148917405452e-05,6.236543564786604e-05,0.8318821500250673
858,0.00016003626633336694,9.767408816985697e-05,6.236217816350996e-05,0.8317221137587338
859,0.00015993577491534616,9.757692578680802e-05,6.235884912853814e-05,0.8315621779838185
860,0.00015983545028737799,9.748000133136836e-05,6.235544895600963e-05,0.8314023425335313
861,0.00015973529216899518,9.738331411214597e-05,6.23519780568492e-05,0.8312426072413622
862,0.00015963530027974764,9.728686343988971e-05,6.234843683985793e-05,0.8310829719410825
863,0.00015953547433920665,9.71906486274829e-05,6.234482571172375e-05,0.8309234364667433
864,0.00015943581406696887,9.709466898993695e-05,6.234114507703191e-05,0.8307640006526764
865,0.00015933631918266038,9.6998923844385e-05,6.23373953382754e-05,0.8306046643334938
866,0.00015923698940594077,9.69034125100754e-05,6.233357689586536e-05,0.8304454273440878
867,0.00015913782445650708,9.680813430836563e-05,6.232969014814145e-05,0.8302862895196315
868,0.00015903882405409782,9.671308856271567e-05,6.232573549138214e-05,0.8301272506955774
869,0.00015893998791849682,9.661827459868184e-05,6.232171331981497e-05,0.8299683107076589
870,0.0001588413157695372,9.652369174391041e-05,6.23176240256268e-05,0.8298094693918894
871,0.00015874280732710533,9.642933932813136e-05,6.231346799897398e-05,0.8296507265845623
872,0.00015864446231114428,9.633521668315191e-05,6.230924562799237e-05,0.8294920821222511
873,0.00015854628044165812,9.624132314285048e-05,6.230495729880764e-05,0.8293335358418095
874,0.00015844826143871535,9.614765804317018e-05,6.230060339554517e-05,0.829175087580371
875,0.00015835040502245283,9.605422072211275e-05,6.229618430034007e-05,0.8290167371753484
876,0.00015825271091307933,9.596101051973212e-05,6.22917003933472e-05,0.8288584844644353
877,0.00015815517883087938,9.586802677812836e-05,6.228715205275101e-05,0.8287003292856046
878,0.00015805780849621677,9.577526884144131e-05,6.228253965477547e-05,0.8285422714771083
879,0.00015796059962953834,9.568273605584446e-05,6.227786357369388e-05,0.8283843108774789
880,0.0001578635519513773,9.559042776953866e-05,6.227312418183865e-05,0.8282264473255275
881,0.0001577666651823571,9.549834333274605e-05,6.226832184961106e-05,0.8280686806603452
882,0.00015766993904319475,9.540648209770379e-05,6.226345694549096e-05,0.8279110107213019
883,0.0001575733732547044,9.531484341865796e-05,6.225852983604644e-05,0.8277534373480474
884,0.00015747696753780078,9.522342665185734e-05,6.225354088594343e-05,0.8275959603805095
885,0.00015738072161350266,9.513223115554742e-05,6.224849045795525e-05,0.8274385796588961
886,0.0001572846352029363,9.504125628996408e-05,6.224337891297221e-05,0.8272812950236932
887,0.00015718870802733874,9.495050141732767e-05,6.223820661001108e-05,0.8271241063156658
888,0.00015709293980806121,9.485996590183677e-05,6.223297390622445e-05,0.8269670133758579
889,0.00015699733026657247,9.47696491096622e-05,6.22276811569103e-05,0.8268100160455913
890,0.0001569018791244621,9.467955040894092e-05,6.222232871552117e-05,0.8266531141664668
891,0.00015680658610344367,9.458966916977e-05,6.221691693367366e-05,0.8264963075803635
892,0.0001567114509253581,9.45000047642005e-05,6.221144616115762e-05,0.8263395961294382
