t,f_K2,f_K4
3570,0.00012121076744067672,5.145530364179553e-05
3571,0.00012116374180347144,5.1411484853282916e-05
3572,0.00012111673423999172,5.1367703381862735e-05
3573,0.00012106974474113511,5.132395919251991e-05
3574,0.00012102277330292077,5.1280252257256604e-05
3575,0.00012097581991771825,5.1236582541331785e-05
3576,0.00012092888457938475,5.119295001427297e-05
3577,0.00012088196728083172,5.1149354643547325e-05
3578,0.00012083506801736656,5.110579639868139e-05
3579,0.00012078818677999132,5.106227524785433e-05
3580,0.00012074132356446285,5.101879115911196e-05
3581,0.00012069447836305378,5.097534410090272e-05
3582,0.00012064765117007275,5.0931934042029117e-05
3583,0.00012060084197828794,5.088856094996542e-05
3584,0.00012055405078293516,5.0845224794260055e-05
3585,0.000120507277576238,5.080192554378107e-05
3586,0.00012046052235259772,5.075866316548634e-05
3587,0.00012041378510445253,5.0715437629231205e-05
3588,0.00012036706582585736,5.067224890377797e-05
3589,0.00012032036451185924,5.062909695711569e-05
3590,0.00012027368115351923,5.0585981758038016e-05
3591,0.00012022701574674209,5.0542903276514924e-05
3592,0.00012018036828291728,5.049986147881382e-05
3593,0.00012013373875749032,5.045685633587938e-05
3594,0.00012008712716301798,5.041388781535705e-05
3595,0.00012004053349519307,5.037095588633119e-05
3596,0.00011999395774370402,5.03280605175635e-05
3597,0.00011994739990534425,5.0285201677960035e-05
3598,0.00011990085997211876,5.024237933697118e-05
3599,0.00011985433793910328,5.01995934625631e-05
3600,0.00011980783379741649,5.015684402411244e-05
3601,0.00011976134754432354,5.0114130991564324e-05
3602,0.00011971487917028341,5.007145433207359e-05
3603,0.0001196684286693966,5.002881401541378e-05
3604,0.00011962199603692897,4.998621001057768e-05
3605,0.00011957558126352262,4.994364228836905e-05
3606,0.00011952918434512807,4.990111081461507e-05
3607,0.00011948280527587865,4.9858615561082015e-05
3608,0.0001194364440487809,4.9816156494972877e-05
3609,0.00011939010065632273,4.977373358857906e-05
3610,0.00011934377509173156,4.973134680703417e-05
3611,0.00011929746735197948,4.968899612260885e-05
3612,0.0001192511774265998,4.9646681503897584e-05
3613,0.00011920490531200915,4.9604402919383704e-05
3614,0.00011915865099843464,4.956216033868354e-05
3615,0.00011911241448426037,4.951995373174591e-05
3616,0.00011906619575939647,4.9477783067333233e-05
3617,0.00011901999481907085,4.943564831491699e-05
3618,0.00011897381165654844,4.939354944368633e-05
3619,0.00011892764626558675,4.935148642423325e-05
3620,0.00011888149863934267,4.930945922544216e-05
3621,0.00011883536877291491,4.926746781570812e-05
3622,0.00011878925665872131,4.9225512165520434e-05
3623,0.00011874316228977096,4.91835922456543e-05
3624,0.00011869708566022237,4.914170802209659e-05
3625,0.00011865102676322284,4.9099859468547776e-05
3626,0.0001186049855944302,4.90580465519756e-05
3627,0.00011855896214468275,4.901626924274409e-05
3628,0.00011851295641052335,4.897452751051263e-05
3629,0.00011846696838237872,4.8932821325711305e-05
3630,0.0001184209980554138,4.8891150656620754e-05
3631,0.00011837504542465228,4.884951547507678e-05
3632,0.00011832911048121437,4.880791574913633e-05
3633,0.00011828319322111975,4.8766351449139444e-05
3634,0.00011823729363591311,4.872482254460528e-05
3635,0.00011819141172109753,4.8683329005685185e-05
3636,0.000118145547468605,4.864187080221843e-05
3637,0.00011809970087272276,4.860044790418769e-05
3638,0.0001180538719268051,4.855906028149068e-05
3639,0.00011800806062620969,4.8517707903942994e-05
3640,0.00011796226696169519,4.8476390742129084e-05
3641,0.00011791649092923063,4.843510876561922e-05
3642,0.00011787073252033396,4.839386194373355e-05
3643,0.00011782499173164466,4.8352650248487976e-05
3644,0.00011777926855359169,4.831147364663534e-05
3645,0.00011773356298189989,4.827033211186282e-05
3646,0.00011768787500905802,4.822922561122965e-05
3647,0.00011764220463079951,4.8188154117820855e-05
3648,0.00011759655183818398,4.814711760034612e-05
3649,0.00011755091662655935,4.810611602929063e-05
3650,0.00011750529898731508,4.8065149374708696e-05
3651,0.00011745969891731725,4.802421760604817e-05
3652,0.00011741411640747998,4.798332069564506e-05
3653,0.00011736855145213177,4.794245861177782e-05
3654,0.00011732300404619692,4.7901631324429916e-05
3655,0.00011727747418260847,4.786083880716987e-05
3656,0.00011723196185485429,4.782008102727053e-05
3657,0.00011718646705617885,4.7779357957194896e-05
3658,0.00011714098978038726,4.773866956545976e-05
3659,0.00011709553002281501,4.769801582435124e-05
3660,0.00011705008777444808,4.76573967027882e-05
3661,0.00011700466303031158,4.7616812172355735e-05
3662,0.0001169592557838901,4.757626220494442e-05
3663,0.00011691386602889796,4.7535746766944416e-05
3664,0.0001168684937593409,4.749526583272909e-05
3665,0.00011682313896845307,4.7454819371023555e-05
3666,0.00011677780164961205,4.741440735416548e-05
3667,0.00011673248179720735,4.737402975027817e-05
3668,0.00011668717940488613,4.7333686532480695e-05
3669,0.00011664189446487657,4.729337767116368e-05
3670,0.0001165966269737568,4.725310313544526e-05
3671,0.00011655137692173613,4.7212862897395655e-05
3672,0.00011650614430572919,4.7172656927094836e-05
3673,0.0001164609291172066,4.713248519754731e-05
3674,0.00011641573134993737,4.7092347676173003e-05
3675,0.00011637055099764245,4.70522443349179e-05
3676,0.00011632538805491563,4.701217514631571e-05
3677,0.00011628024251488439,4.69721400795299e-05
3678,0.00011623511437138213,4.6932139106683946e-05
3679,0.00011619000361875618,4.6892172197760104e-05
3680,0.00011614491024843247,4.685223932443988e-05
3681,0.0001160998342572966,4.681234045804936e-05
3682,0.00011605477563676403,4.677247556900064e-05
3683,0.00011600973438124931,4.6732644627719e-05
3684,0.00011596471048247842,4.6692847606944775e-05
3685,0.00011591970393799745,4.665308447688424e-05
3686,0.00011587471473814178,4.6613355208180194e-05
3687,0.00011582974287781831,4.6573659771487826e-05
3688,0.00011578478835116221,4.653399814149792e-05
3689,0.00011573985115265691,4.6494370284389975e-05
3690,0.00011569493127427642,4.645477617516771e-05
3691,0.00011565002870911009,4.641521578349137e-05
3692,0.00011560514345324034,4.637568908120983e-05
3693,0.0001155602754973214,4.6336196040616186e-05
3694,0.00011551542483724536,4.6296736629806034e-05
3695,0.0001154705914671985,4.625731082289873e-05
3696,0.00011542577537969995,4.621791859096295e-05
3697,0.00011538097656801501,4.617855990512908e-05
3698,0.00011533619502649278,4.613923473658189e-05
3699,0.00011529143075015274,4.609994305683381e-05
3700,0.00011524668373054001,4.606068483696927e-05
3701,0.00011520195396231054,4.602146004970926e-05
3702,0.00011515724143875204,4.59822686649738e-05
3703,0.0001151125461542762,4.5943110656387696e-05
3704,0.00011506786810219163,4.59039859931861e-05
3705,0.00011502320727703207,4.58648946491652e-05
3706,0.00011497856367064542,4.582583659387896e-05
3707,0.00011493393727747784,4.578681180183276e-05
3708,0.00011488932809229624,4.5747820241159676e-05
3709,0.0001148447361092224,4.570886188430718e-05
3710,0.00011480016131884654,4.566993670656082e-05
3711,0.00011475560371795919,4.5631044675884144e-05
3712,0.00011471106329881663,4.5592185765498924e-05
3713,0.00011466654005640803,4.555335994660991e-05
3714,0.00011462203398140364,4.551456719217714e-05
3715,0.00011457754507039135,4.547580747341391e-05
3716,0.00011453307331735426,4.543708075991262e-05
3717,0.00011448861871415586,4.539838702798084e-05
3718,0.00011444418125535426,4.535972624505068e-05
3719,0.00011439976093510834,4.532109838660049e-05
3720,0.0001143553577463086,4.528250342374327e-05
3721,0.00011431097168460281,4.5243941326312654e-05
3722,0.0001142666027409651,4.5205412068182593e-05
3723,0.00011422225090980971,4.516691562249274e-05
3724,0.00011417791618535644,4.5128451959162816e-05
3725,0.00011413359856224831,4.509002105141418e-05
3726,0.0001140892980338461,4.505162287059395e-05
3727,0.00011404501459204269,4.50132573896652e-05
3728,0.0001140007482326755,4.4974924580213294e-05
3729,0.00011395649894888072,4.4936624414869966e-05
3730,0.0001139122667332315,4.489835686622181e-05
3731,0.00011386805158215127,4.486012190372167e-05
3732,0.00011382385348648924,4.482191950371656e-05
3733,0.00011377967244197948,4.478374963494142e-05
3734,0.00011373550844131622,4.4745612272943215e-05
3735,0.00011369136147817312,4.470750738773371e-05
3736,0.00011364723154791666,4.4669434951714994e-05
3737,0.00011360311864130163,4.463139493794887e-05
3738,0.00011355902275483884,4.459338731712537e-05
3739,0.00011351494388138533,4.4555412065799244e-05
3740,0.00011347088201474619,4.451746915259829e-05
3741,0.00011342683714753557,4.4479558551346334e-05
3742,0.00011338280927523174,4.4441680234835186e-05
3743,0.00011333879839088822,4.440383417482645e-05
3744,0.00011329480448963175,4.436602034216684e-05
3745,0.00011325082756143668,4.432823871437038e-05
3746,0.000113206867603718,4.4290489258918316e-05
3747,0.00011316292460831507,4.4252771951813144e-05
3748,0.0001131189985702421,4.421508676222021e-05
3749,0.0001130750894829632,4.4177433666473684e-05
3750,0.00011303119733801015,4.413981263638044e-05
