case_id,classification,L,K,q,drift,beta,start,target1,target2,shortcut_src,shortcut_dst,steps,survival_final,row_stochasticity_error,mass_balance_error,decomposition_error,shape_t1,shape_t2,shape_tv,R_peak,R_valley,peak_separation,shape_score,total_mass,total_peak_t,total_peak_height,total_mean_t,target1_mass,target1_peak_t,target1_peak_height,target1_mean_t,target2_mass,target2_peak_t,target2_peak_height,target2_mean_t,split_t,early_target1_mass,early_target2_mass,late_target1_mass,late_target2_mass,early_dominant_target,late_dominant_target
037_local_bump_L31_x0_a30_20_gp0p3_b0p00,local_bump,31,2,0.6666666666666666,0.3,0.0,0,30,20,,,654,9.81322181064503e-11,0.0,1.1102230246251565e-16,0.0,1,70,30,0.02857632789326047,0.004417563168947798,69,446.34712605697047,0.9999999999018688,1,0.2333333333333333,43.461647957666706,0.5384604950458003,1,0.2333333333333333,4.9996350511634935,0.46153950485606876,70,0.006599201393029839,88.33380796172135,30,0.5261438504417831,0.0005425123243600723,0.012316644604017005,0.4609969925317086,target1,target2
038_local_bump_L31_x0_a30_20_gp0p3_b0p03,local_bump,31,2,0.6666666666666666,0.3,0.03,0,30,20,5,20,644,9.809766167237246e-11,0.0,1.1622647289044608e-16,0.0,1,69,31,0.027773830323083653,0.0060451209898052935,68,312.42062237542063,0.9999999999019035,1,0.2333333333333333,41.86782655323638,0.5379242734262564,1,0.2333333333333333,4.9455381365837425,0.46207572647564704,70,0.006415092624237479,84.85081404156385,31,0.5268408072257811,0.015611297518911936,0.01108346620047538,0.44646442895673516,target1,target2
039_double_peak_L31_x0_a30_20_gp0p6_b0p00,double_peak,31,2,0.6666666666666666,0.6,0.0,0,30,20,,,209,9.847049951436749e-11,0.0,1.5959455978986625e-16,0.0,1,43,21,0.20597063092015097,0.0011111282173702334,42,7785.569985001886,0.9999999999015307,1,0.13333333333333333,36.87499998234905,0.24999999999982944,1,0.13333333333333333,2.4999999999328812,0.7499999999017012,43,0.0274608761055712,48.333333311315094,21,0.249437313393095,2.65816013202709e-05,0.0005626866067344394,0.7499734183003809,target1,target2
040_double_peak_L31_x0_a30_20_gp0p6_b0p03,double_peak,31,2,0.6666666666666666,0.6,0.03,0,30,20,5,20,208,9.928515024257091e-11,0.0,1.6132928326584306e-16,0.0,1,43,22,0.20177352839373636,0.0043473503468107666,42,1949.3455821323087,0.999999999900716,1,0.13333333333333333,36.18925475405097,0.24999553398620142,1,0.13333333333333333,2.4995105415215857,0.7500044659145148,43,0.02690131707693307,47.4189020122178,22,0.24953753980398735,0.01614100771766377,0.00045799418221406576,0.733863458196851,target1,target2
041_shoulder_L31_x7_a15_16_gm0p6_b0p00,shoulder,31,2,0.6666666666666666,-0.6,0.0,7,15,16,,,229,8.739997133982715e-11,0.0,2.5153490401663703e-16,0.0,15,50,21,2.9261177946495135e-05,2.1106909707528804e-05,35,48.5216093837754,0.9999999999126014,50,0.03278744992073892,54.99885557495926,1.5258789062499009e-05,15,9.593994065425393e-07,19.999999999991854,0.9999847411235389,50,0.03278743743984478,54.999389623262886,21,1.0025063451483837e-05,0.0,5.233725611015171e-06,0.999984741123539,target1,target2
042_shoulder_L31_x7_a15_16_gm0p6_b0p03,shoulder,31,2,0.6666666666666666,-0.6,0.03,7,15,16,12,16,228,9.976763159031364e-11,0.0,2.5766064629118013e-16,0.0,13,50,21,7.308111781866708e-05,4.2178376769084005e-05,37,64.1087108234252,0.9999999999002338,50,0.03278742995407989,54.99729982205112,1.4892298894394755e-05,15,9.43222159493315e-07,19.90564239419687,0.9999851076013394,50,0.03278741822604483,54.99782242528506,21,9.852452625113884e-06,1.8684604136611237e-05,5.03984626928087e-06,0.9999664229972027,target2,target2
043_shoulder_L31_x7_a15_16_gm0p3_b0p00,shoulder,31,2,0.6666666666666666,-0.3,0.0,7,15,16,,,771,9.794202344348475e-11,0.0,4.180683577104105e-16,0.0,22,88,27,0.01564259024700092,0.015321325847546365,66,67.38391746086363,0.9999999999020609,88,0.011388488520839351,108.93994533027575,0.007067030680097182,22,0.00017813522450422923,39.999734770144485,0.992932969221964,88,0.011373646992695902,109.43061549454931,27,0.0026176078487063674,8.943626306310646e-06,0.004449422831390815,0.9929240255956577,target1,target2
044_shoulder_L31_x7_a15_16_gm0p3_b0p03,shoulder,31,2,0.6666666666666666,-0.3,0.03,7,15,16,12,16,769,9.984453047982719e-11,0.0,4.0505793164058446e-16,0.0,21,88,27,0.019272058351871357,0.018381512262211203,67,70.24601083719826,0.9999999999001589,88,0.011387329692392903,108.73545769444027,0.006780917340002487,22,0.00017360664717039882,39.54967632841427,0.9932190825601563,88,0.01137356974651885,109.2078036982416,27,0.0025604058409567187,0.0008659672214255738,0.004220511499045768,0.9923531153387308,target1,target2
045_unimodal_L31_x7_a15_16_gp0p0_b0p00,unimodal,31,2,0.6666666666666666,0.0,0.0,7,15,16,,,2500,0.00010072652350997465,0.0,4.397524011601206e-16,0.0,32,,,0.0,1.0,0,0.0,0.999899273476492,32,0.004876216599944156,263.7471693586537,0.7332829700715797,32,0.004875940911716865,207.8237748110486,0.2666163034049125,212,0.0005936341493863481,417.5549910359123,32,0.08448740732266873,6.872830256582953e-07,0.6487955627489108,0.2666156161218869,target1,target1
046_unimodal_L31_x7_a15_16_gp0p0_b0p03,unimodal,31,2,0.6666666666666666,0.0,0.03,7,15,16,12,16,2500,8.542882778883838e-05,0.0,3.0531133177191805e-16,0.0,31,,,0.0,1.0,0,0.0,0.9999145711722127,31,0.005123163906718324,256.3671801098857,0.6783449033882334,31,0.004702768780362141,201.74437039351034,0.32156966778397944,194,0.0006742635621255654,371.5929252343905,31,0.07762902564074356,0.008676096829262321,0.6007158777474899,0.31289357095471704,target1,target1
