direction_index,predicted_gradient_dot_direction,frechet_directional_derivative,five_point_directional_derivative,relative_linearity_error,relative_finite_difference_error,budget_residual,metric_norm_residual
75.0,-0.021103619987616763,-0.021103619987616788,-0.02110361998743093,1.1508039226410422e-15,8.805787215488877e-12,-2.220446049250313e-16,0.0
76.0,-0.01191216825577119,-0.011912168255771186,-0.011912168255805617,2.9125234612621547e-16,2.8900970306104364e-12,2.7755575615628914e-16,-1.1102230246251565e-16
77.0,0.005217865831340954,0.0052178658313409634,0.005217865831295039,1.828521358399984e-15,8.799509693478322e-12,1.6653345369377348e-16,2.220446049250313e-16
78.0,-0.019502823920175792,-0.019502823920175813,-0.01950282392042026,1.0673675667002132e-15,1.2534986808732853e-11,-5.551115123125783e-17,0.0
79.0,-0.020276361096149973,-0.020276361096149966,-0.020276361096504176,3.4221593662107126e-16,1.7468754700759204e-11,-1.1102230246251565e-16,0.0
80.0,0.013135417811818692,0.013135417811818664,0.01313541781194453,2.113033328135914e-15,9.580096916019207e-12,1.1102230246251565e-16,-1.1102230246251565e-16
81.0,-0.01192063820380042,-0.011920638203800432,-0.011920638203558041,1.01865891106118e-15,2.0332722910184313e-11,-2.220446049250313e-16,0.0
82.0,-0.005571629284726931,-0.005571629284726931,-0.0055716292846758044,0.0,9.176245409197607e-12,0.0,0.0
83.0,-0.0026958023698861935,-0.0026958023698862143,-0.0026958023700956084,7.721887161551612e-15,7.768186309991081e-11,1.942890293094024e-16,-2.220446049250313e-16
84.0,0.022039515850156552,0.02203951585015656,0.02203951585033383,3.148387628397983e-16,8.043658132412587e-12,-1.5959455978986625e-16,-2.220446049250313e-16
85.0,-0.012002261862536459,-0.012002261862536483,-0.012002261862188722,2.023462655775019e-15,2.897266097062093e-11,-5.551115123125783e-17,-2.220446049250313e-16
86.0,0.01745655701287301,0.01745655701287302,0.017456557012661873,5.962424805868306e-16,1.2094977466197387e-11,-1.1102230246251565e-16,2.220446049250313e-16
87.0,-0.004965546497595196,-0.00496554649759522,-0.004965546497789445,4.716251662553645e-15,3.9119211429032456e-11,-5.551115123125783e-17,0.0
88.0,0.00819643991111307,0.008196439911113084,0.008196439911141901,1.693148239755844e-15,3.517515468092766e-12,5.551115123125783e-17,2.220446049250313e-16
89.0,-0.009658532189631513,-0.00965853218963151,-0.0096585321896168,3.592105802244035e-16,1.523232465441583e-12,2.7755575615628914e-16,0.0
90.0,0.015234905639685216,0.015234905639685235,0.015234905639526878,1.252515682541446e-15,1.0393147403604821e-11,2.7755575615628914e-16,-3.3306690738754696e-16
91.0,0.01015884043986667,0.010158840439866678,0.010158840440000852,8.537999421401787e-16,1.3208455864896992e-11,0.0,-1.1102230246251565e-16
92.0,-0.00044074922256008564,-0.00044074922256003707,-0.00044074922216548923,1.1020384118937142e-13,8.952855512169834e-10,0.0,0.0
93.0,0.016279716507728186,0.01627971650772818,0.01627971650777771,4.262294064268343e-16,3.0419992736683165e-12,1.1102230246251565e-16,0.0
94.0,0.0033302459532826272,0.0033302459532826498,0.0033302459530546815,6.771693593822821e-15,6.844710682246984e-11,1.1102230246251565e-16,2.220446049250313e-16
95.0,-0.011795960454985887,-0.011795960454985835,-0.011795960454981378,4.411824240840631e-15,3.8221104006482665e-13,0.0,0.0
96.0,-0.012993292233245423,-0.01299329223324541,-0.012993292233011431,1.068073245694106e-15,1.800864948649261e-11,-4.440892098500626e-16,0.0
97.0,-0.011951881978334238,-0.011951881978334238,-0.011951881978451704,0.0,9.828309917011632e-12,-3.3306690738754696e-16,-2.220446049250313e-16
98.0,-0.013596646253198147,-0.01359664625319815,-0.013596646253263843,2.551693180309653e-16,4.831758621575343e-12,0.0,0.0
99.0,-0.013270610878901527,-0.013270610878901488,-0.013270610878824788,2.8758221320591363e-15,5.782624711631818e-12,-5.551115123125783e-17,-1.1102230246251565e-16
100.0,0.01448344194508177,0.014483441945081766,0.014483441945154402,2.395457492142851e-16,5.014890259801059e-12,0.0,-1.1102230246251565e-16
101.0,-0.014294894562680602,-0.01429489456268064,-0.014294894562863942,2.6697585143883513e-15,1.2825519903121639e-11,0.0,-2.220446049250313e-16
