t,f_total,f_shortcut_no,f_shortcut_yes,survival,shortcut_share_inst,shortcut_share_cum
1005,3.393970045989728e-07,1.7651579605686936e-07,1.6288120854210344e-07,2.9765317254267877e-05,0.47991351230268464,0.12080143352161499
1006,3.354709739654118e-07,1.7337356305820432e-07,1.620974109072075e-07,2.9429846280302467e-05,0.4831935502232759,0.12080155509722929
1007,3.315469196718934e-07,1.702254051204347e-07,1.613215145514587e-07,2.9098299360630575e-05,0.4865722013376153,0.1208016763708892
1008,3.276266882571508e-07,1.6707538703114096e-07,1.6055130122600988e-07,2.877067267237342e-05,0.49004341520552447,0.12080179734781786
1009,3.2371214092204265e-07,1.639275079605999e-07,1.5978463296144276e-07,2.844696053145138e-05,0.49360098915759415,0.12080191803087544
1010,3.1980514801352905e-07,1.6078569298185596e-07,1.590194550316731e-07,2.812715538343785e-05,0.49723857173476743,0.12080203842064141
1011,3.1590758368151863e-07,1.5765378502900032e-07,1.582537986525183e-07,2.7811247799756333e-05,0.5009496663811067,0.1208021585155
1012,3.120213207144591e-07,1.545355373020065e-07,1.574857834124526e-07,2.749922647904187e-05,0.5047276354444157,0.12080227831172867
1013,3.0814822555870614e-07,1.514346061248318e-07,1.5671361943387434e-07,2.7191078253483166e-05,0.5085657045395461,0.1208023978035895
1014,3.0429015352591106e-07,1.483545442619025e-07,1.5593560926400856e-07,2.6886788099957256e-05,0.5124569673291458,0.12080251698342295
1015,3.004489441919167e-07,1.4529879469654855e-07,1.5515014949536813e-07,2.658633915576534e-05,0.5163943907763024,0.12080263584174376
1016,2.9662641698993873e-07,1.4227068487344958e-07,1.5435573211648915e-07,2.62897127387754e-05,0.5203708209229548,0.12080275436733885
1017,2.9282436700014925e-07,1.3927342140570546e-07,1.535509455944438e-07,2.599688837177525e-05,0.5243789892470442,0.12080287254736669
1018,2.8904456093715595e-07,1.3631008524575078e-07,1.5273447569140515e-07,2.5707843810838097e-05,0.528411519650123,0.12080299036745802
1019,2.852887333362994e-07,1.3338362731800052e-07,1.5190510601829887e-07,2.5422555077501797e-05,0.5324609361254816,0.12080310781181768
1020,2.8155858293915623e-07,1.304968646098439e-07,1.5106171832931234e-07,2.514099649456264e-05,0.5365196711547459,0.12080322486332695
1021,2.778557692781511e-07,1.2765247671640015e-07,1.5020329256175094e-07,2.486314072528449e-05,0.5405800748783013,0.12080334150364659
1022,2.7418190945973335e-07,1.2485300283331262e-07,1.493289066264207e-07,2.4588958815824753e-05,0.5446344250817587,0.12080345771331985
1023,2.7053857514517113e-07,1.2210083919079135e-07,1.484377359543798e-07,2.4318420240679583e-05,0.5486749380369437,0.12080357347187555
1024,2.669272897276483e-07,1.1939823692111543e-07,1.4752905280653286e-07,2.4051492950951933e-05,0.5526937802315378,0.1208036887579307
1025,2.6334952570402235e-07,1.1674730035088125e-07,1.4660222535314109e-07,2.3788143425247915e-05,0.5566830810164695,0.12080380354929258
1026,2.5980670223930835e-07,1.14149985708425e-07,1.4565671653088335e-07,2.3528336723008606e-05,0.5606349461944162,0.12080391782305998
1027,2.5630018292169214e-07,1.116081002360639e-07,1.4469208268562824e-07,2.3272036540086915e-05,0.564541472566316,0.12080403155572321
1028,2.528312737056477e-07,1.0912330169608345e-07,1.4370797200956426e-07,2.301920526638127e-05,0.5683947634455718,0.12080414472326309
1029,2.4940122104053114e-07,1.0669709825875315e-07,1.42704122781778e-07,2.276980404534073e-05,0.5721869451416464,0.12080425730124805
1030,2.4601121018184676e-07,1.0433084876007166e-07,1.416803614217751e-07,2.2523792835158888e-05,0.5759101844060183,0.12080436926492978
1031,2.4266236368222916e-07,1.0202576331643253e-07,1.4063660036579663e-07,2.2281130471476656e-05,0.5795567068239839,0.1208044805893368
1032,2.393557400590515e-07,9.978290428295015e-08,1.3957283577610136e-07,2.2041774731417607e-05,0.5831188161256017,0.12080459124936586
1033,2.3609233263545654e-07,9.760318754180111e-08,1.3848914509365544e-07,2.180568239878215e-05,0.5865889143782259,0.12080470121987119
1034,2.3287306855150612e-07,9.548738410660856e-08,1.3738568444489757e-07,2.1572809330230644e-05,0.5899595230116146,0.12080481047575112
1035,2.2969880794206254e-07,9.34361220286288e-08,1.3626268591343374e-07,2.1343110522288582e-05,0.5932233046146395,0.12080491899203213
1036,2.2657034327793716e-07,9.144988859028465e-08,1.351204546876525e-07,2.111654017901064e-05,0.596373085430242,0.1208050267439502
1037,2.234883988667773e-07,8.952903277142851e-08,1.339593660953488e-07,2.0893051780143864e-05,0.5994018784626165,0.12080513370702908
1038,2.2045363051010392e-07,8.767376797360504e-08,1.3277986253649887e-07,2.067259814963376e-05,0.6023029070977955,0.12080523985715572
1039,2.174666253128559e-07,8.588417498751799e-08,1.315824503253379e-07,2.0455131524320907e-05,0.6050696291260248,0.12080534517065242
1040,2.145279016417491e-07,8.416020518888198e-08,1.3036769645286712e-07,2.0240603622679157e-05,0.6076957610417254,0.12080544962434588
1041,2.116379092287052e-07,8.250168394785947e-08,1.291362252808457e-07,2.0028965713450453e-05,0.6101753024846577,0.1208055531956328
1042,2.08797029415559e-07,8.090831423733789e-08,1.2788871517822112e-07,1.9820168684034893e-05,0.6125025606743195,0.1208056558625422
1043,2.0600557553620147e-07,7.937968042539408e-08,1.266258951108074e-07,1.961416310849869e-05,0.6146721746788614,0.12080575760379424
1044,2.0326379343226254e-07,7.791525223741467e-08,1.2534854119484785e-07,1.9410899315066432e-05,0.6166791393501181,0.1208058583988554
1045,2.0057186209838524e-07,7.651438887349462e-08,1.2405747322489061e-07,1.9210327452968045e-05,0.6185188287479602,0.1208059582279904
1046,1.9792989445308304e-07,7.517634326691455e-08,1.227535511861685e-07,1.9012397558514965e-05,0.6201870188702888,0.12080605707231028
1047,1.9533793823110922e-07,7.390026646970083e-08,1.2143767176140837e-07,1.8817059620283855e-05,0.6216799094998762,0.12080615491381702
1048,1.927959769932027e-07,7.26852121514971e-08,1.2011076484170559e-07,1.862426364329065e-05,0.6229941449760659,0.12080625173544443
1049,1.9030393124900426e-07,7.153014119822101e-08,1.1877379005078326e-07,1.8433959712041646e-05,0.6241268336983171,0.12080634752109556
1050,1.8786165968886122e-07,7.043392639724026e-08,1.1742773329162095e-07,1.824609805235278e-05,0.6250755661698412,0.12080644225567645
1051,1.8546896052016163e-07,6.939535719608032e-08,1.1607360332408132e-07,1.8060629091832622e-05,0.6258384313932864,0.12080653592512623
1052,1.83125572903758e-07,6.841314452196474e-08,1.1471242838179328e-07,1.7877503518928865e-05,0.6264140314366722,0.1208066285164438
1053,1.8083117848595407e-07,6.748592564979208e-08,1.13345252836162e-07,1.769667234044291e-05,0.6268014939966008,0.12080672001771091
1054,1.7858540302144334e-07,6.66122691064639e-08,1.1197313391497944e-07,1.7518086937421465e-05,0.6270004827972108,0.12080681041811168
1055,1.7638781808249924e-07,6.579067959979914e-08,1.105971384827001e-07,1.7341699119338968e-05,0.6270112056773226,0.1208068997079489
1056,1.7423794284962675e-07,6.501960296059744e-08,1.0921833988902931e-07,1.716746117648934e-05,0.6268344202346813,0.12080698787865678
1057,1.7213524597879865e-07,6.429743108674724e-08,1.0783781489205141e-07,1.6995325930510543e-05,0.6264714369149794,0.12080707492281044
1058,1.700791475403107e-07,6.362250687861316e-08,1.0645664066169755e-07,1.682524678297023e-05,0.6259241194542448,0.12080716083413225
1059,1.6806902102420608e-07,6.299312915528008e-08,1.0507589186892598e-07,1.6657177761946025e-05,0.6251948826059531,0.12080724560749494
1060,1.6610419540713622e-07,6.240755754157708e-08,1.0369663786555913e-07,1.649107356653889e-05,0.6242866871085911,0.12080732923892164
