t,f_total,k_0,k_1,k_2,k_3,k_4,k_5,k_6
333,3.2922860399402028e-06,1.6598764760113318e-08,3.9750961960601835e-08,1.3878068114770607e-07,3.8027675992868148e-07,7.3386099684558902e-07,1.0276494026822545e-06,9.5536847261525654e-07
334,3.1991472117272788e-06,1.6186306755461124e-08,3.8686523538360150e-08,1.3489080306305272e-07,3.6951875558832190e-07,7.1306386299290366e-07,9.9851704621313408e-07,9.2828391357604504e-07
335,3.1086432787826947e-06,1.5783894366646126e-08,3.7650489899918597e-08,1.3110993945133002e-07,3.5906509280048910e-07,6.9285610722612369e-07,9.7021055295530387e-07,9.0196720208288306e-07
336,3.0206997002354725e-06,1.5391289504621511e-08,3.6642106017631704e-08,1.2743503562225277e-07,3.4890716192348989e-07,6.7322102695788341e-07,9.4270651070453606e-07,8.7639656950505719e-07
337,2.9352440439497599e-06,1.5008259506430789e-08,3.5660636843616341e-08,1.2386312246540537e-07,3.3903659686963833e-07,6.5414239293633960e-07,9.1598217096562615e-07,8.5155086436270330e-07
338,2.8522059268706060e-06,1.4634577018883368e-08,3.4705366783782598e-08,1.2039131405324744e-07,3.2944526821598998e-07,6.3560443583169847e-07,8.9001543013699733e-07,8.2740953483000692e-07
339,2.7715169570572353e-06,1.4270019884466221e-08,3.3775599185625350e-08,1.1701680531122847e-07,3.2012527650991295e-07,6.1759183320282928e-07,8.6478481122870146e-07,8.0395261173447158e-07
340,2.6931106773560640e-06,1.3914371029458127e-08,3.2870655839419507e-08,1.1373686975313425e-07,3.1106894576398907e-07,6.0008969683318976e-07,8.4026944609868574e-07,7.8116069203818759e-07
341,2.6169225106671045e-06,1.3567418354213294e-08,3.1989876492470697e-08,1.1054885727984038e-07,3.0226881713489298e-07,5.8308356042560722e-07,8.1644905819264389e-07,7.5901492278743590e-07
342,2.5428897067586666e-06,1.3228954625581132e-08,3.1132618376082293e-08,1.0745019203969879e-07,2.9371764278104652e-07,5.6655936764574414e-07,7.9330394577316670e-07,7.3749698551734697e-07
343,2.4709512905865795e-06,1.2898777371429215e-08,3.0298255744908398e-08,1.0443837034883270e-07,2.8540837989399548e-07,5.5050346050437013e-07,7.7081496562432974e-07,7.1658908109871368e-07
344,2.4010480120753623e-06,1.2576688777236520e-08,2.9486179428370718e-08,1.0151095866966407e-07,2.7733418489859702e-07,5.3490256806884276e-07,7.4896351721823132e-07,6.9627391501441972e-07
345,2.3331222973200078e-06,1.2262495584724313e-08,2.8695796393825923e-08,9.8665591646043719e-08,2.6948840781724466e-07,5.1974379549446927e-07,7.2773152733039457e-07,6.7653468305330540e-07
346,2.2671182011681811e-06,1.1956008992492166e-08,2.7926529321177723e-08,9.5899970193400745e-08,2.6186458679349205e-07,5.0501461336668554e-07,7.0710143509130125e-07,6.5735505740963188e-07
347,2.2029813611437952e-06,1.1657044558626804e-08,2.7177816188636091e-08,9.3211859642371092e-08,2.5445644277057036e-07,4.9070284734524594e-07,6.8705617746169851e-07,6.3871917317664651e-07
348,2.1406589526740187e-06,1.1365422105251790e-08,2.6449109869333564e-08,9.0599087934409055e-08,2.4725787432041824e-07,4.7679666810186896e-07,6.6757917511966238e-07,6.2061161522307463e-07
349,2.0800996455828460e-06,1.1080965624986156e-08,2.5739877738516160e-08,8.8059543867926794e-08,2.4026295261896935e-07,4.6328458154302133e-07,6.4865431874774758e-07,6.0301740544167857e-07
350,2.0212535618154065e-06,1.0803503189280461e-08,2.5049601291033517e-08,8.5591175393547708e-08,2.3346591656356055e-07,4.5015541930976446e-07,6.3026595570888059e-07,5.8592199035933945e-07
351,1.9640722343581952e-06,1.0532866858598927e-08,2.4377775768860256e-08,8.3191987957099215e-08,2.2686116802844446e-07,4.3739832954680981e-07,6.1239887709997562e-07,5.6931122909840698e-07
352,1.9085085673213930e-06,1.0268892594416608e-08,2.3723909798387228e-08,8.0860042889008622e-08,2.2044326725449788e-07,4.2500276793315808e-07,5.9503830517256470e-07,5.5317138167935992e-07
353,1.8545167971504191e-06,1.0011420173000892e-08,2.3087525037228175e-08,7.8593455838803497e-08,2.1420692836933451e-07,4.1295848896690927e-07,5.7816988111004158e-07,5.3748909765510141e-07
354,1.8020524549347557e-06,9.7602931009467349e-09,2.2468155830293918e-08,7.6390395253453858e-08,2.0814701503413201e-07,4.0125553749704152e-07,5.6177965315140413e-07,5.2225140506748351e-07
355,1.7510723297830141e-06,9.5153585324355713e-09,2.1865348874892535e-08,7.4249080898329095e-08,2.0225853621359129e-07,3.8988424049516130e-07,5.4585406505167627e-07,5.0744569971692802e-07
356,1.7015344332340860e-06,9.2764671881879550e-09,2.1278662894620207e-08,7.2167782419576703e-08,1.9653664206554559e-07,3.7883519906042540e-07,5.3037994486946505e-07,4.9305973473626500e-07
357,1.6533979646750602e-06,9.0434732760803725e-09,2.0707668321813644e-08,7.0144817946763462e-08,1.9097661994683532e-07,3.6809928065102741e-07,5.1534449407237664e-07,4.7908161046016345e-07
