t,f_total,survival_before,survival_after
859,9.1574920712630027e-13,3.2370014474970451e-11,3.1454265267844151e-11
860,8.8984261968869275e-13,3.1454265267844151e-11,3.0564422648155459e-11
861,8.6466893080828785e-13,3.0564422648155459e-11,2.9699753717347174e-11
862,8.4020740675099420e-13,2.9699753717347174e-11,2.8859546310596181e-11
863,8.1643790034101682e-13,2.8859546310596181e-11,2.8043108410255164e-11
864,7.9334083436709666e-13,2.8043108410255164e-11,2.7249767575888068e-11
865,7.7089718545818621e-13,2.7249767575888068e-11,2.6478870390429878e-11
866,7.4908846841528550e-13,2.6478870390429878e-11,2.5729781922014596e-11
867,7.2789672098652955e-13,2.5729781922014596e-11,2.5001885201028069e-11
868,7.0730448907298924e-13,2.5001885201028069e-11,2.4294580711955079e-11
869,6.8729481235300211e-13,2.4294580711955079e-11,2.3607285899602078e-11
870,6.6785121031319005e-13,2.3607285899602078e-11,2.2939434689288890e-11
871,6.4895766867466099e-13,2.2939434689288890e-11,2.2290477020614231e-11
872,6.3059862620321344e-13,2.2290477020614231e-11,2.1659878394411019e-11
873,6.1275896189268173e-13,2.1659878394411019e-11,2.1047119432518333e-11
874,5.9542398251086405e-13,2.1047119432518333e-11,2.0451695450007473e-11
875,5.7857941049777702e-13,2.0451695450007473e-11,1.9873116039509694e-11
876,5.6221137220627035e-13,1.9873116039509694e-11,1.9310904667303422e-11
877,5.4630638647531311e-13,1.9310904667303422e-11,1.8764598280828115e-11
878,5.3085135352654396e-13,1.8764598280828115e-11,1.8233746927301567e-11
879,5.1583354417493734e-13,1.8233746927301567e-11,1.7717913383126632e-11
880,5.0124058934470074e-13,1.7717913383126632e-11,1.7216672793781933e-11
881,4.8706046988176848e-13,1.7216672793781933e-11,1.6729612323900165e-11
882,4.7328150665449913e-13,1.6729612323900165e-11,1.6256330817245665e-11
883,4.5989235093442613e-13,1.6256330817245665e-11,1.5796438466311240e-11
884,4.4688197504913580e-13,1.5796438466311240e-11,1.5349556491262107e-11
885,4.3423966329957788e-13,1.5349556491262107e-11,1.4915316827962527e-11
886,4.2195500313432345e-13,1.4915316827962527e-11,1.4493361824828204e-11
887,4.1001787657350547e-13,1.4493361824828204e-11,1.4083343948254698e-11
888,3.9841845187537551e-13,1.4083343948254698e-11,1.3684925496379325e-11
889,3.8714717543861409e-13,1.3684925496379325e-11,1.3297778320940711e-11
890,3.7619476393372489e-13,1.3297778320940711e-11,1.2921583557006986e-11
891,3.6555219665703266e-13,1.2921583557006986e-11,1.2556031360349953e-11
892,3.5521070810098647e-13,1.2556031360349953e-11,1.2200820652248969e-11
893,3.4516178073464965e-13,1.2200820652248969e-11,1.1855658871514318e-11
894,3.3539713798842963e-13,1.1855658871514318e-11,1.1520261733525891e-11
895,3.2590873743727069e-13,1.1520261733525891e-11,1.1194352996088621e-11
896,3.1668876417669372e-13,1.1194352996088621e-11,1.0877664231911928e-11
