g1,g2,phase,t1,t2,tv,sep_peaks,peak_ratio,valley_ratio,mass_tmax,survival_tmax
0.15,-0.75,2,80,528,106,1.1007371007371007,0.8681655943575524,0.29718644164029306,0.543511413543167,0.4564885864568159
0.3,-0.75,2,84,528,108,1.0277777777777777,0.39438476639842246,0.3139694506400058,0.5601786129985004,0.4398213870014644
0.45,-0.75,2,78,528,110,1.1111111111111112,0.2078819857044832,0.10039687570375205,0.5717814784095467,0.4282185215904352
0.6,-0.75,1,42,530,46,0.5886610373944512,0.17429695191116618,0.16413870067013334,0.5640445666360874,0.4359554333638775
0.75,-0.75,1,40,424,54,0.9121140142517815,0.5910783406498128,0.2254725191485592,0.5323186011436452,0.4676813988563185
0.9,-0.75,2,36,790,58,1.885,0.42070778216767746,0.012463746271188151,0.593304409816966,0.4066955901829925
-0.9,-0.6,2,52,762,76,1.806615776081425,0.6838844522602133,0.09634205972097233,0.5836970684103011,0.4163029315896562
-0.75,-0.6,1,80,570,146,0.5840286054827175,0.9524554878817866,0.6873155781911542,0.5591561965617893,0.4408438034381758
-0.6,-0.6,1,90,436,124,0.8065268065268065,0.34249986515876557,0.21610122811600452,0.5601917643494535,0.4398082356505127
-0.45,-0.6,1,102,442,140,0.7925407925407926,0.32390928818048953,0.24985280667275503,0.5888678847939217,0.4111321152060623
-0.3,-0.6,1,106,442,132,0.4097560975609756,0.8051013506745109,0.6734369637438709,0.595495361790949,0.40450463820901983
-0.15,-0.6,1,94,442,136,0.7981651376146789,0.3772819312523651,0.2733969926828703,0.5895242072475882,0.410475792752396
0.0,-0.6,1,96,442,134,0.7954022988505747,0.37147081247553376,0.3358230797313478,0.5428467403577619,0.45715325964222137
0.15,-0.6,1,102,442,132,0.41615667074663404,0.8656486986571329,0.557628506160471,0.524300409527461,0.4756995904725214
0.3,-0.6,1,100,436,202,0.7777777777777778,0.35596467191441855,0.3346153979161073,0.5407179541576611,0.45928204584230314
0.45,-0.6,1,52,444,58,0.46335697399527187,0.32749851816598896,0.3153538173951623,0.5428924164535085,0.45710758354647263
0.6,-0.6,1,46,320,66,0.6416861826697893,0.9408619518652298,0.4219663273312451,0.5315853137859854,0.46841468621397814
0.75,-0.6,2,42,500,70,1.1743589743589744,0.3120005006182577,0.03524226487529659,0.5777265431582389,0.42227345684172696
0.9,-0.6,2,38,792,64,1.7867298578199051,0.12389834239408926,0.005744737384120708,0.6066999698890693,0.39330003011089065
-0.9,-0.45,2,54,762,80,1.710144927536232,0.16916427408063048,0.020910250698865856,0.5877819337865462,0.41221806621342894
-0.75,-0.45,2,62,566,92,1.2262773722627738,0.38391546045082986,0.09512389294627366,0.5674112196063735,0.4325887803936092
-0.6,-0.45,1,72,424,112,0.4180522565320665,0.9587786446005927,0.773775729864965,0.5456757623741177,0.4543242376258648
-0.45,-0.45,1,118,384,166,0.6143187066974596,0.487056349050712,0.4315687100634104,0.5465145622541092,0.4534854377458908
-0.3,-0.45,1,138,398,380,0.42414355628058725,0.5631114638142063,0.5619653902684189,0.566663306415251,0.43333669358473276
-0.15,-0.45,1,124,312,176,0.25474254742547425,0.7058496115858265,0.5339349400846913,0.5662813289133428,0.4337186710866573
0.0,-0.45,1,126,312,178,0.30194805194805197,0.5720705895588717,0.5381868665266412,0.5222250792972695,0.47777492070273064
0.15,-0.45,1,136,392,380,0.3256997455470738,0.7424782147453001,0.7421201437139595,0.501121393207437,0.4988786067925637
0.3,-0.45,1,124,388,178,0.6027397260273972,0.4625389254433358,0.39212125757650484,0.5124334939396336,0.4875665060603477
0.45,-0.45,1,60,240,86,0.23622047244094488,0.7694905102896255,0.5363989019889029,0.5168258551108469,0.4831741448891521
0.6,-0.45,1,52,408,90,0.8640776699029126,0.275860380234472,0.07050970771229964,0.5585366026206449,0.44146339737933726
0.75,-0.45,2,46,550,78,1.2115384615384615,0.1389808261950479,0.02188382132814133,0.5899004255986958,0.41009957440128736
0.9,-0.45,2,40,790,64,1.7814726840855106,0.08214402415165377,0.012452855476747234,0.6094326026616834,0.39056739733829293
-0.9,-0.3,2,56,762,80,1.7918781725888324,0.11371366231161477,0.0439162986844397,0.5970414520229915,0.40295854797696756
-0.75,-0.3,2,64,566,96,1.2184466019417475,0.17862231955908064,0.08331492692276572,0.5741946959473061,0.42580530405266015
-0.6,-0.3,1,76,430,118,0.8740740740740741,0.3209750193584628,0.15116481465300063,0.5490437786209323,0.45095622137903285
-0.45,-0.3,1,96,300,146,0.2764227642276423,0.7340082839754511,0.5205692954274698,0.5254298175864845,0.4745701824134977
-0.3,-0.3,1,36,302,98,0.5782608695652174,0.23805847248955,0.12836469338576,0.5228411315818517,0.4771588684181134
-0.15,-0.3,1,42,310,126,0.5763440860215053,0.1834620463759163,0.13130554723871865,0.5331345300235544,0.46686546997642886
0.0,-0.3,1,46,312,122,0.569593147751606,0.2645959896329493,0.23236811925406414,0.49496264225629916,0.5050373577436834
0.15,-0.3,1,44,192,108,0.3645320197044335,0.8382883605538283,0.3901789402293199,0.4705683177565098,0.5294316822434719
0.3,-0.3,1,86,214,130,0.1679790026246719,0.7748042515537722,0.7143665051340168,0.48809748561327476,0.5119025143866878
0.45,-0.3,1,68,344,122,0.6146993318485523,0.30693031054700537,0.15694095323127402,0.5316352593514823,0.46836474064849926
