N,beta,peak_id,t_left,t_peak,t_right,mass_total,fraction_total,mass_yes,mass_no,shortcut_share,dominant_site,dominant_site_fraction,site_entropy
101,0.24,other,,,,0.6047495600381081,0.6047498582414977,0.006302224020887,0.5984473360172213,0.010421213072879073,36,0.09151438033248004,2.9854851665961424
101,0.26,peak1,80,109,147,0.1552946036284187,0.15529468170352806,0.08986590362338959,0.06542870000502915,0.5786801442142594,23,0.03843689360842998,3.7191975716315957
101,0.26,peak2,148,191,280,0.2008831048213363,0.20088320581628405,0.04414492447094215,0.1567381803503941,0.21975429198092225,100,0.045496308610591556,3.7274669801796483
101,0.26,peak3,281,321,400,0.04498764465209804,0.0449876672698529,0.010838389860636137,0.034149254791461914,0.24091925559678481,63,0.03377291045047495,4.0084005206497375
101,0.26,other,,,,0.598834144143587,0.598834445210335,0.006741145594886664,0.5920929985487007,0.011257116283052638,36,0.09148058134880424,2.987614545933827
101,0.28,peak1,80,109,147,0.15955509690226008,0.15955517868099936,0.09498472262613598,0.06457037427612408,0.5953098614224873,23,0.039458786742599984,3.7208975399758297
101,0.28,peak2,148,191,280,0.20232805289550265,0.20232815659719197,0.04759846754394897,0.15472958535155362,0.2352539198730508,100,0.04510593900760521,3.738799083651958
101,0.28,peak3,281,321,400,0.04507298346090994,0.04507300656272138,0.0116253727579952,0.03344761070291476,0.2579233027269526,63,0.03336026622205651,4.02152520452342
101,0.28,other,,,,0.5930433541992715,0.5930436581590872,0.007169410059063358,0.5858739441402081,0.012089183713631716,36,0.09144594934421528,2.989748806860791
101,0.3,peak1,80,109,147,0.16363685786606727,0.16363694336066387,0.09990291666994001,0.06373394119612726,0.6105159801571605,23,0.040383226170568345,3.7220088306475696
101,0.3,peak2,148,191,281,0.2041487339236043,0.20414884058425448,0.05127322816406283,0.1528755057595415,0.2511562387805456,100,0.044684750429277734,3.752653635778772
101,0.3,peak3,282,321,400,0.044840596975855,0.04484062040351548,0.012179816875769986,0.03266078010008501,0.27162477079260045,64,0.03307941906304741,4.028425212335745
101,0.3,other,,,,0.5873732887693449,0.5873735956515659,0.0075874475385469785,0.5797858412307979,0.012917590369906123,36,0.09141050703935737,2.9918888292917796
121,0.0,peak1,96,231,316,0.2512734589043772,0.25127355560216846,0.0,0.2512734589043772,0.0,0,0.03491425587353993,4.019273963707557
121,0.0,peak2,317,387,479,0.04682332539955823,0.046823343418620676,0.0,0.04682332539955823,0.0,76,0.03617476451802079,3.8425772074122246
121,0.0,other,,,,0.7019028308653128,0.7019031009792108,0.0,0.7019028308653128,0.0,44,0.0826886849164099,3.061033411538663
121,0.02,peak1,96,231,320,0.2594105290204787,0.2594106312532416,0.011842916573192953,0.2475676124472857,0.04565318384689789,120,0.03354895287407188,4.114647507234499
121,0.02,peak2,321,387,479,0.04674127862978633,0.04674129705035729,0.0010902031009070534,0.04565107552887927,0.023324203634692845,76,0.0355852762453979,3.8862081748542887
121,0.02,other,,,,0.6938477982534615,0.6938480716964006,0.0005884668129310324,0.6932593314405306,0.0008481208910834742,44,0.08268493709385984,3.0632047697617497
121,0.04,peak1,96,231,324,0.26751346873439513,0.2675135765824678,0.023528544639022507,0.24398492409537265,0.08795274776382637,120,0.03231778693815114,4.178228314926786
121,0.04,peak2,325,387,479,0.046496738155404886,0.04649675690056797,0.0019957988201768136,0.044500939335228064,0.042923415692221356,76,0.03513120890758723,3.9137964180053304
121,0.04,other,,,,0.6859893899602957,0.6859896665169639,0.0011594520891099144,0.6848299378711857,0.001690189536571436,44,0.08267991720169444,3.0653463939841434
121,0.06,peak1,96,231,326,0.27538628933612413,0.275386402813286,0.034912308376506856,0.24047398095961728,0.1267757681788379,120,0.031201300110680837,4.224858634507114
