N,beta,site,p_full,p_peak1,p_peak2,p_peak3,p_other,p_yes,p_no
61,0.02,40,0.0024305599002475233,8.592037571801718e-05,0.002237999216260575,0.0,0.00010664030826893072,5.060747960273769e-05,0.0023799524206447845
61,0.02,41,0.0023489245940691945,9.357175596089931e-05,0.0021469779531888378,0.0,0.0001083748849194572,5.760868819960985e-05,0.002291315905869587
61,0.02,42,0.002270789585710371,0.0001291889410702847,0.0020292229094087955,0.0,0.0001123777352312906,8.03714749716128e-05,0.0021904181107387528
61,0.02,43,0.0021771904811436985,0.00017727424091494565,0.0018845935822053848,0.0,0.00011532265802336794,8.867386689212926e-05,0.002088516614251565
61,0.02,44,0.0021031241773912454,0.000259978854977013,0.0017240217635201098,0.0,0.0001191235588941225,0.00010107604897926234,0.002002048128411983
61,0.02,45,0.0020670332804085386,0.0003901116896339757,0.0015536760508460168,0.0,0.00012324553992854617,0.00011457055532601889,0.0019524627250825273
61,0.02,46,0.0020943106465446146,0.0005868754667518174,0.0013799615932700798,0.0,0.00012747358652271732,0.00012838145307165138,0.001965929193472958
61,0.02,47,0.0022141428928189886,0.0008738872283383218,0.0012086240453758879,0.0,0.00013163161910477862,0.00014171096468316353,0.0020724319281358278
61,0.02,48,0.0024575789983442503,0.001277507950721773,0.001044489895056127,0.0,0.00013558115256635033,0.00015376910511836797,0.0023038098932258787
61,0.02,49,0.0028543196263556693,0.0018237603348447116,0.0008913316324548937,0.0,0.00013922765905606413,0.00016388020116737278,0.002690439425188297
61,0.02,50,0.0034281955252910543,0.0025338241168784918,0.000751842064769877,0.0,0.00014252934364268572,0.00017162226344134872,0.003256573261849712
61,0.02,51,0.0041917447681306275,0.0034185435626689973,0.0006276953150821004,0.0,0.0001455058903795294,0.00017695238999476976,0.004014792378135847
61,0.02,52,0.005140720445816675,0.004472816216485404,0.0005196608533926113,0.0,0.00014824337593865905,0.00018021858477913465,0.004960501861037535
61,0.02,53,0.006249686920458155,0.005671063644366014,0.0004277328631043905,0.0,0.0001508904129877497,0.00018194089808926025,0.006067746022368896
61,0.02,54,0.007470063847198178,0.006965166793815808,0.00035125236810902105,0.0,0.00015364468527334795,0.00018239769375169348,0.007287666153446494
61,0.02,55,0.00873190399501627,0.008286135764230087,0.00028903034339926846,0.0,0.00015673788738691308,0.00018132411531755034,0.008550579879698752
61,0.02,56,0.009949987322146215,0.009550061915583314,0.00023949628747932012,0.0,0.00016042911908357996,0.00017803401310764687,0.009771953309038597
61,0.02,57,0.011033529910350998,0.010667646252290875,0.00020087705053077322,0.0,0.00016500660752934862,0.00017189610671986254,0.010861633803631155
61,0.02,58,0.01189767717410111,0.011555511589592065,0.00017137746363363597,0.0,0.0001707881208754094,0.00016280573162807054,0.011734871442473035
61,0.02,59,0.012474534681633285,0.012147100260109511,0.0001493226130291167,0.0,0.00017811180849465748,0.00015139379578203436,0.012323140885851241
61,0.02,60,0.012721732027912094,0.012401177340819637,0.00013323779017363025,0.0,0.0001873168969188267,0.00013898795512167075,0.012582744072790378
61,0.04,0,0.01261050933946503,0.012250672534117279,0.0001546839722386088,0.0,0.000205152833109142,0.0002612021281385077,0.012349307211326524
61,0.04,1,0.012191709116895103,0.011828164732383236,0.0001441361554509926,0.0,0.00021940822906087464,0.0002468839057973661,0.01194482521109774
61,0.04,2,0.011495721324821673,0.011123849786903759,0.0001357421309974452,0.0,0.00023612940692046788,0.0002446830251985094,0.011251038299623154
61,0.04,3,0.010456557895171357,0.01007745816608894,0.00012725000135753103,0.0,0.00025184972772488703,0.00025775688992442673,0.010198801005246932
61,0.04,4,0.009419329800806734,0.00902479570497127,0.00012155116691673623,0.0,0.0002729829289187285,0.0003001729871573713,0.00911915681364938
61,0.04,5,0.008376083315974715,0.007960926800227952,0.00011722912524747939,0.0,0.00029792739049928343,0.0003779547648334108,0.007998128551141294
61,0.04,6,0.007375384445853056,0.0069359074971339085,0.00011368634761678832,0.0,0.00032579060110235974,0.0004956789706010801,0.006879705475251989
61,0.04,7,0.006463243145469124,0.005996865870183954,0.0001105036433428085,0.0,0.00035587363194236144,0.0006530412104934638,0.005810201934975659
61,0.04,8,0.005672638995055119,0.005176690683751771,0.00010741244838493778,0.0,0.0003885358629184105,0.0008423145085033543,0.0048303244865517715
61,0.04,9,0.005020801873679376,0.0044880324346532096,0.00010425456659548283,0.0,0.0004285148724306846,0.0010474730928528987,0.003973328780826492
61,0.04,10,0.00452095144240188,0.003925567512079375,0.0001009866781152126,0.0,0.0004943972522072924,0.0012458864610665574,0.0032750649813353206
61,0.04,11,0.004213212796462474,0.0034735834434773956,9.769457711182731e-05,0.0,0.0006419347758732511,0.001412444982904353,0.0028007678135581237
61,0.04,12,0.004225626611879512,0.003116947023532597,9.460929400409733e-05,0.0,0.0010140702943428174,0.001524960001319728,0.0027006666105597738
61,0.04,13,0.004874398290605358,0.0028529418163999133,9.212397733366987e-05,0.0,0.0019293324968717742,0.001569073649821765,0.0033053246407836
61,0.04,14,0.0067859467690091916,0.0027009019879454853,9.081207425358041e-05,0.0,0.0039942327068101255,0.0015410890711070322,0.0052448576979021565
61,0.04,15,0.010952019198198385,0.002706337672490474,9.144707039752508e-05,0.0,0.008154234455310386,0.001447978769577477,0.009504040428620918
61,0.04,16,0.018537999936520756,0.002936433455327267,9.50227141553887e-05,0.0,0.0155065437670381,0.0013048843445871946,0.01723311559193361
61,0.04,17,0.030286201756179503,0.003464782375513002,0.00010277071166473728,0.0,0.02671864866900176,0.00113118856506325,0.02915501319111629
61,0.04,18,0.045660043877139095,0.004345696682013732,0.00011617068532812435,0.0,0.04119817650979724,0.0009464619577842807,0.04471358191935488
61,0.04,19,0.06233928097700204,0.005582769142366275,0.00013694506746621238,0.0,0.056619566767169546,0.0007673094445498305,0.0615719715324524
61,0.04,20,0.07672024920865024,0.007101508813388129,0.00016702994834379527,0.0,0.06945171044691831,0.0006056118406367116,0.07611463736801366
61,0.04,21,0.08535212293631139,0.008739023147834254,0.00020851225911928974,0.0,0.07640458752935785,0.0004681389153366352,0.0848839840209745
61,0.04,22,0.08640817564476916,0.010261461948998617,0.00026352472060550886,0.0,0.07588318897516502,0.0003571739225748888,0.08605100172219422
61,0.04,23,0.08026933211653703,0.011410865700253982,0.0003340933703416325,0.0,0.0685243730459414,0.00027167437399636905,0.0799976577425408
61,0.04,24,0.06903325631953493,0.011969940821367363,0.00042193852631497653,0.0,0.056641376971852585,0.0002085488408049176,0.06882470747873028
61,0.04,25,0.055457739542411816,0.011822680315154809,0.0005282384921387119,0.0,0.04310682073511829,0.00016376919255065234,0.055293970349861145
61,0.04,26,0.04199058549122653,0.010987409301413693,0.0006533751202904336,0.0,0.0303498010695224,0.00013318719156204108,0.041857398299664554
61,0.04,27,0.030248852124775426,0.009608963411764001,0.0007966897539336043,0.0,0.019843198959077817,0.00011303976461135878,0.03013581236016404
61,0.04,28,0.020956216824028394,0.007913724252732556,0.0009562848345945672,0.0,0.012086207736701271,0.00010019476152896586,0.02085602206249941
61,0.04,29,0.01415588167685191,0.006146206415553306,0.001128908404106879,0.0,0.0068807668571917256,9.221448262932612e-05,0.014063667194222558
61,0.04,30,0.009501458241927352,0.0045111661627149175,0.0013099543027356435,0.0,0.0036803377764767914,8.731175422248344e-05,0.009414146487704904
61,0.04,31,0.006501781116183345,0.0031391388250142913,0.0014935997234713217,0.0,0.001869042567697732,8.425693039539251e-05,0.00641752418578795
61,0.04,32,0.004676247401243875,0.00208067781474713,0.001673085071387726,0.0,0.0009224845151090187,8.227418483656368e-05,0.004593973216407321
61,0.04,33,0.003628220694934728,0.0013227507631642774,0.0018411213397509047,0.0,0.00046434859201954586,8.094766427845064e-05,0.003547273030656267
61,0.04,34,0.0030633173874538133,0.0008149855284280929,0.0019903908701847588,0.0,0.00025794098884096166,8.014485694052478e-05,0.0029831725305132857
61,0.04,35,0.0027790236292862926,0.0004944701305471007,0.0021140919102161097,0.0,0.0001704615885230823,7.995614039303568e-05,0.0026990674888932626
