Wy,bx,corridor_halfwidth,corridor_band_width,start_x,target_x,wall_margin,delta_core,delta_open,phase,sep_peaks,valley_over_max,t_peak1,t_peak2,absorbed_mass,survival_tail
26,-0.12,3,7,7,58,5,0.95,0.6,1,0.6335025380710659,0.22034850914364934,599,2159,0.747396582735141,0.25260341726474433
26,-0.08,3,7,7,58,5,0.95,0.6,2,1.6436322101656196,0.05059884318753802,430,1869,0.8813343399968205,0.11866566000310168
26,-0.04,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.9088871403926835,0.09111285960725816
26,0.0,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.9238769140554914,0.07612308594445905
26,0.08,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.9999851787136417,1.4821286337368244e-05
28,-0.12,3,7,7,58,5,0.95,0.6,1,0.6227639080007863,0.2104194883079132,599,2183,0.7341516284014689,0.26584837159841435
28,-0.08,3,7,7,58,5,0.95,0.6,2,1.4707070707070706,0.0482297452704457,430,1886,0.8714891172139836,0.12851088278593895
28,-0.04,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.8999862275132018,0.10001377248673565
28,0.0,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.913051529042403,0.08694847095754545
28,0.08,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.9999508967305885,4.910326938951909e-05
