scan_name,case_id,corridor_halfwidth,bx,delta_core,delta_open,kappa_c2o,kappa_o2c,window,lo,hi,observable,exit_prob,mean_event_time,mean_hit_time,event_time_ratio,early_mass,late_mass,no_exit_mass
width_bx,width_h1_bx_m0p04,1,-0.04,1.0,0.55,0.002,0.002,middle,120,200,tau_mem,0.0007931746987612251,137.64087961241373,182.58274108071186,0.7538548210948849,0.00011109160118420368,0.0006820830975770214,0.9992068253012387
width_bx,width_h1_bx_m0p04,1,-0.04,1.0,0.55,0.002,0.002,late,260,360,tau_out,0.6839864371807389,259.27034167428684,310.04392402944836,0.8362374540507397,0.04479111246906481,0.6391953247116742,0.3160135628192611
width_bx,width_h1_bx_m0p04,1,-0.04,1.0,0.55,0.002,0.002,late,260,360,tau_mem,0.0033565548209513007,175.3635257818353,310.04392402944836,0.5656086515186121,0.0011613334551798917,0.002195221365771409,0.9966434451790487
width_bx,width_h1_bx_p0p00,1,0.0,1.0,0.55,0.002,0.002,early,10,60,tau_out,0.005037476220161968,55.368906543817644,59.561889410476944,0.9296029238131966,5.200453611843261e-07,0.005036956174800784,0.9949625237798381
width_bx,width_h1_bx_p0p00,1,0.0,1.0,0.55,0.002,0.002,early,10,60,tau_mem,5.608169874994469e-06,47.999339070111176,59.561889410476944,0.8058733452748409,5.200453611843261e-07,5.088124513810143e-06,0.999994391830125
width_bx,width_h1_bx_p0p00,1,0.0,1.0,0.55,0.002,0.002,middle,120,200,tau_out,0.4646645412516784,164.40067745711357,180.03900725663536,0.9131392133415275,0.005246394397895082,0.4594181468537833,0.5353354587483217
width_bx,width_h1_bx_p0p00,1,0.0,1.0,0.55,0.002,0.002,middle,120,200,tau_mem,0.0010849127533903086,135.84444410240354,180.03900725663536,0.7545278446729325,0.00012965401976965525,0.0009552587336206534,0.9989150872466097
width_bx,width_h1_bx_p0p00,1,0.0,1.0,0.55,0.002,0.002,late,260,360,tau_out,0.7850624742138095,239.9508151952953,304.23957236831455,0.7886903512499326,0.05091261949085334,0.7341498547229561,0.21493752578619052
width_bx,width_h1_bx_p0p00,1,0.0,1.0,0.55,0.002,0.002,late,260,360,tau_mem,0.0064891638572767375,170.98369150739313,304.23957236831455,0.5620034572636037,0.0020899367051183454,0.004399227152158392,0.9935108361427233
width_bx,width_h1_bx_p0p04,1,0.04,1.0,0.55,0.002,0.002,early,10,60,tau_out,0.005197467228417279,55.36035074374975,59.55864314152121,0.9295099388380017,5.520673323245814e-07,0.005196915161084954,0.9948025327715827
