t,f_total,f_a,f_b
4693,5.2749227094200445e-05,5.2749227094200445e-05,0.0
4694,5.2726430832343715e-05,5.2726430832343715e-05,0.0
4695,5.2703636770489575e-05,5.2703636770489575e-05,0.0
4696,5.2680844940491967e-05,5.2680844940491967e-05,0.0
4697,5.265805537424555e-05,5.265805537424555e-05,0.0
4698,5.26352681036848e-05,5.26352681036848e-05,0.0
4699,5.261248316078307e-05,5.261248316078307e-05,0.0
4700,5.258970057755168e-05,5.258970057755168e-05,0.0
4701,5.2566920386039014e-05,5.2566920386039014e-05,0.0
4702,5.2544142618329544e-05,5.2544142618329544e-05,0.0
4703,5.252136730654308e-05,5.252136730654308e-05,0.0
4704,5.2498594482833645e-05,5.2498594482833645e-05,0.0
4705,5.247582417938876e-05,5.247582417938876e-05,0.0
4706,5.2453056428428425e-05,5.2453056428428425e-05,0.0
4707,5.2430291262204294e-05,5.2430291262204294e-05,0.0
4708,5.2407528712998704e-05,5.2407528712998704e-05,0.0
4709,5.238476881312382e-05,5.238476881312382e-05,0.0
4710,5.2362011594920754e-05,5.2362011594920754e-05,0.0
4711,5.2339257090758657e-05,5.2339257090758657e-05,0.0
4712,5.231650533303383e-05,5.231650533303383e-05,0.0
4713,5.229375635416886e-05,5.229375635416886e-05,0.0
4714,5.227101018661167e-05,5.227101018661167e-05,0.0
4715,5.224826686283474e-05,5.224826686283474e-05,0.0
4716,5.222552641533413e-05,5.222552641533413e-05,0.0
4717,5.220278887662868e-05,5.220278887662868e-05,0.0
4718,5.21800542792591e-05,5.21800542792591e-05,0.0
4719,5.2157322655787094e-05,5.2157322655787094e-05,0.0
4720,5.2134594038794506e-05,5.2134594038794506e-05,0.0
4721,5.211186846088245e-05,5.211186846088245e-05,0.0
4722,5.208914595467043e-05,5.208914595467043e-05,0.0
4723,5.206642655279552e-05,5.206642655279552e-05,0.0
4724,5.2043710287911464e-05,5.2043710287911464e-05,0.0
4725,5.2020997192687846e-05,5.2020997192687846e-05,0.0
4726,5.199828729980922e-05,5.199828729980922e-05,0.0
4727,5.1975580641974256e-05,5.1975580641974256e-05,0.0
4728,5.195287725189493e-05,5.195287725189493e-05,0.0
4729,5.193017716229563e-05,5.193017716229563e-05,0.0
4730,5.1907480405912326e-05,5.1907480405912326e-05,0.0
4731,5.188478701549176e-05,5.188478701549176e-05,0.0
4732,5.186209702379054e-05,5.186209702379054e-05,0.0
4733,5.183941046357441e-05,5.183941046357441e-05,0.0
4734,5.181672736761733e-05,5.181672736761733e-05,0.0
