dst,valid,reason_invalid,mass,remaining,steps,fig3_bimodal,fig3_t1,fig3_h1,fig3_t2,fig3_h2,robust_bimodal,robust_t1,robust_h1,robust_t2,robust_h2,robust_sep,robust_ratio,robust_valley,robust_valley_ratio
22,True,,0.9999224997872355,7.750021276397706e-05,8000,True,25,3.645007992968147e-05,27,6.527947300255543e-05,True,141,0.002379050567102961,191,0.0022857769943005393,50,0.9607937829938589,1.2439673370832258e-08,5.442207792733021e-06
23,True,,0.9999393325027055,6.0667497294218886e-05,8000,True,22,3.1118039731626154e-05,24,6.346496534936222e-05,True,116,0.0025836419256677606,166,0.0023847422426041816,50,0.9230157704565922,2.4846949186145e-05,0.010419134085959614
24,True,,0.9999522784901204,4.7721509879698744e-05,8000,True,21,5.60901783130787e-05,23,0.00010975496268566742,True,107,0.0028958192686260945,157,0.002685265407549378,50,0.9272903998678714,1.7129022551831737e-10,6.378893685397004e-08
25,True,,0.9999622754583277,3.772454167218579e-05,8000,True,18,4.1537814670138884e-05,20,0.00010052433720341434,True,92,0.0032352743565149306,142,0.0028867376120911723,50,0.8922698027999068,5.78084214541671e-06,0.0020025519885158625
26,True,,0.9999699451476999,3.005485229992823e-05,8000,True,17,7.798936631944444e-05,19,0.00017900820131655092,True,83,0.0036605213839720303,133,0.003209551084460221,50,0.8768016213519667,4.218654033146395e-13,1.3144062587356774e-10
27,True,,0.9999758714623126,2.4128537687148013e-05,8000,True,16,0.00014580620659722222,18,0.00031647858796296296,True,72,0.0041711996829567576,122,0.0035085258563864264,50,0.8411311188773887,6.827066515418221e-07,0.00019458504211936162
28,True,,0.9999804355750314,1.9564424968364614e-05,8000,True,13,8.138020833333333e-05,15,0.0002712673611111111,True,61,0.004800073297585585,111,0.003936204971899456,50,0.8200301803473188,1.4456028966473392e-19,3.672580333004733e-17
29,True,,0.9999839887098455,1.601129015441395e-05,8000,True,12,0.00016276041666666666,14,0.0005018446180555556,True,52,0.005584726319166622,102,0.004350484795752123,50,0.778996954751638,8.436350903134215e-09,1.939174896409612e-06
30,True,,0.9999867540763396,1.3245923660399758e-05,8000,True,11,0.0003255208333333333,13,0.0009223090277777779,True,45,0.006583571199292539,95,0.004785422432923268,50,0.7268733470122571,0.0,0.0
31,True,,0.9999889369692802,1.1063030719779003e-05,8000,True,10,0.0006510416666666666,12,0.001681857638888889,True,38,0.00787591422670052,88,0.005251415663605501,50,0.6667690267375463,1.2126596023639042e-12,2.3092051363752076e-10
32,True,,0.999990662723653,9.337276347021655e-06,8000,True,9,0.0013020833333333333,11,0.0030381944444444445,True,31,0.009601563936128616,81,0.005774422167399072,50,0.6014043343159092,0.0,0.0
33,True,,0.9999920497352156,7.950264784050466e-06,8000,True,8,0.0026041666666666665,10,0.005425347222222222,True,24,0.011989151687149181,74,0.006345181787924028,50,0.5292435990050274,0.0,0.0
34,True,,0.9999931660365812,6.833963418562094e-06,8000,True,7,0.005208333333333333,9,0.00954861111111111,True,19,0.015395643725262202,69,0.0067631122219112185,50,0.4392873947072347,0.0,0.0
35,True,,0.9999940806912464,5.919308753658521e-06,8000,True,6,0.010416666666666666,8,0.016493055555555552,True,14,0.02058969505529835,64,0.007123381494452012,50,0.3459682853641366,0.0,0.0
36,True,,0.9999948295801844,5.170419815454044e-06,8000,True,5,0.020833333333333332,7,0.027777777777777773,True,9,0.02922453703703703,59,0.007380631633851725,50,0.2525491378870452,0.0,0.0
37,True,,0.9999954547370742,4.545262925531298e-06,8000,True,4,0.041666666666666664,6,0.04513888888888888,True,6,0.04513888888888888,56,0.007136389970811879,50,0.15809848550721703,0.0,0.0
38,True,,0.9999959742280543,4.0257719453895825e-06,8000,True,3,0.08333333333333333,5,0.06944444444444443,True,3,0.08333333333333333,53,0.0065729270267358125,50,0.07887512432082976,0.0,0.0
39,True,,0.9999964155812996,3.5844187002887815e-06,8000,True,2,0.16666666666666666,4,0.09722222222222221,True,2,0.16666666666666666,52,0.005325645129891063,50,0.03195387077934638,0.0,0.0
40,True,,0.9999967866649593,3.2133350404828086e-06,8000,True,3,0.1111111111111111,5,0.0648148148148148,True,3,0.1111111111111111,53,0.003550437565797043,50,0.03195393809217339,0.0,0.0
41,True,,0.9999914141001556,8.585899844184332e-06,8000,True,2,0.16666666666666666,4,0.09722222222222221,True,2,0.16666666666666666,52,0.005325645129891063,50,0.03195387077934638,0.0,0.0
42,True,,0.9999830358195971,1.6964180402605183e-05,8000,True,3,0.08333333333333333,5,0.06944444444444443,True,3,0.08333333333333333,53,0.006572926082560577,50,0.07887511299072693,0.0,0.0
43,True,,0.9999706592519503,2.9340748049498918e-05,8000,True,4,0.041666666666666664,6,0.04513888888888888,True,6,0.04513888888888888,56,0.007136389970811879,50,0.15809848550721703,0.0,0.0
44,True,,0.99995300049647,4.6999503529610235e-05,8000,True,5,0.020833333333333332,7,0.027777777777777773,True,9,0.02922453703703703,59,0.007380624003089104,50,0.2525488767789698,0.0,0.0
45,True,,0.9999286877454183,7.131225458152845e-05,8000,True,6,0.010416666666666666,8,0.016493055555555552,True,14,0.02058969505529835,64,0.007123381494452012,50,0.3459682853641366,0.0,0.0
46,True,,0.999895907846771,0.00010409215322881513,8000,True,7,0.005208333333333333,9,0.00954861111111111,True,19,0.015395643725262202,69,0.006763029376294167,50,0.4392820135995312,0.0,0.0
47,True,,0.9998529097996278,0.00014709020037190418,8000,True,8,0.0026041666666666665,10,0.005425347222222222,True,24,0.011989151687149181,74,0.006345181787924372,50,0.529243599005056,0.0,0.0
48,True,,0.99979727354918,0.00020272645081985285,8000,True,9,0.0013020833333333333,11,0.0030381944444444445,True,31,0.009601563936128616,81,0.005773869043263166,50,0.6013467266032922,0.0,0.0
49,True,,0.9997269212548756,0.00027307874512438966,8000,True,10,0.0006510416666666666,12,0.001681857638888889,True,38,0.00787591422670052,88,0.005251415663845087,50,0.6667690267679665,1.2126596023639042e-12,2.3092051362698545e-10
50,True,,0.9996387652707719,0.0003612347292276072,8000,True,11,0.0003255208333333333,13,0.0009223090277777779,True,45,0.006583571187532264,95,0.00478294624340365,50,0.7264972318460573,0.0,0.0
51,True,,0.9995305114548885,0.0004694885451112663,8000,True,12,0.00016276041666666666,14,0.0005018446180555556,True,52,0.005584726319166622,102,0.004350484808982466,50,0.7789969571206606,7.479203001104725e-09,1.7191654101773624e-06
52,True,,0.999398359878667,0.0006016401213326233,8000,True,13,8.138020833333333e-05,15,0.0002712673611111111,True,61,0.004800059894459834,111,0.003928153012644452,50,0.8183549995237089,1.4456028966473392e-19,3.680108417350454e-17
53,True,,0.9992399690008862,0.0007600309991135517,8000,True,16,0.00014580620659722222,18,0.00031647858796296296,True,72,0.00417119968295685,122,0.003508526456566929,50,0.8411312627641527,5.125016722492728e-07,0.00014607319585406588
