t,f_total,f_shortcut_no,f_shortcut_yes,survival
502,1.0539098153839541e-11,9.044902120364315e-12,1.4941960334752249e-12,0.8185893846831287
503,1.0539098153703853e-11,9.044902120183911e-12,1.494196033519942e-12,0.8185893846725898
504,1.0539098153568168e-11,9.044902120003508e-12,1.4941960335646591e-12,0.8185893846620507
505,1.053909815343248e-11,9.044902119823103e-12,1.4941960336093768e-12,0.8185893846515119
506,1.0539098153296794e-11,9.0449021196427e-12,1.4941960336540938e-12,0.818589384640973
507,1.0539098153161109e-11,9.044902119462298e-12,1.494196033698811e-12,0.818589384630434
508,1.053909815302542e-11,9.044902119281893e-12,1.4941960337435284e-12,0.8185893846198949
509,1.0539098152889736e-11,9.04490211910149e-12,1.4941960337882457e-12,0.8185893846093562
510,1.053909815275405e-11,9.044902118921087e-12,1.494196033832963e-12,0.8185893845988169
511,1.053909815261836e-11,9.044902118740681e-12,1.4941960338776803e-12,0.8185893845882781
512,1.0539098152482677e-11,9.04490211856028e-12,1.4941960339223976e-12,0.818589384577739
513,1.0539098152346992e-11,9.044902118379877e-12,1.4941960339671148e-12,0.8185893845671998
514,1.0539098152211305e-11,9.044902118199472e-12,1.4941960340118324e-12,0.818589384556661
515,1.0539098152075615e-11,9.044902118019066e-12,1.4941960340565495e-12,0.8185893845461218
516,1.0539098151939932e-11,9.044902117838665e-12,1.4941960341012665e-12,0.818589384535583
517,1.0539098151804247e-11,9.044902117658262e-12,1.4941960341459841e-12,0.8185893845250442
518,1.0539098151668559e-11,9.044902117477857e-12,1.4941960341907012e-12,0.8185893845145052
519,1.0539098151532875e-11,9.044902117297456e-12,1.4941960342354186e-12,0.8185893845039662
520,1.0539098151397185e-11,9.04490211711705e-12,1.4941960342801358e-12,0.8185893844934271
521,1.0539098151261502e-11,9.044902116936649e-12,1.494196034324853e-12,0.8185893844828881
522,1.0539098151125815e-11,9.044902116756244e-12,1.4941960343695705e-12,0.8185893844723494
523,1.0539098150990127e-11,9.04490211657584e-12,1.4941960344142877e-12,0.8185893844618101
524,1.0539098150854443e-11,9.044902116395438e-12,1.494196034459005e-12,0.8185893844512713
525,1.0539098150718758e-11,9.044902116215035e-12,1.4941960345037222e-12,0.8185893844407324
526,1.053909815058307e-11,9.044902116034629e-12,1.4941960345484398e-12,0.8185893844301934
527,1.0539098150447385e-11,9.044902115854228e-12,1.4941960345931568e-12,0.8185893844196543
528,1.0539098150311696e-11,9.044902115673822e-12,1.4941960346378743e-12,0.8185893844091154
529,1.0539098150176008e-11,9.044902115493417e-12,1.4941960346825915e-12,0.8185893843985765
530,1.0539098150040325e-11,9.044902115313016e-12,1.4941960347273087e-12,0.8185893843880372
531,1.0539098149904641e-11,9.044902115132615e-12,1.4941960347720262e-12,0.8185893843774985
532,1.0539098149768953e-11,9.04490211495221e-12,1.4941960348167436e-12,0.8185893843669593
533,1.0539098149633268e-11,9.044902114771807e-12,1.4941960348614608e-12,0.8185893843564204
534,1.0539098149497581e-11,9.044902114591403e-12,1.4941960349061779e-12,0.8185893843458814
535,1.0539098149361896e-11,9.044902114411e-12,1.4941960349508955e-12,0.8185893843353425
536,1.053909814922621e-11,9.044902114230597e-12,1.4941960349956125e-12,0.8185893843248034
537,1.0539098149090524e-11,9.044902114050194e-12,1.4941960350403302e-12,0.8185893843142645
538,1.0539098148954836e-11,9.04490211386979e-12,1.4941960350850472e-12,0.8185893843037255
539,1.053909814881915e-11,9.044902113689386e-12,1.4941960351297646e-12,0.8185893842931865
540,1.0539098148683466e-11,9.044902113508983e-12,1.4941960351744818e-12,0.8185893842826476
541,1.0539098148547777e-11,9.044902113328579e-12,1.494196035219199e-12,0.8185893842721086
542,1.0539098148412092e-11,9.044902113148176e-12,1.4941960352639165e-12,0.8185893842615697
